org_name.x,org_city.x,org_state.x,lat.x,lon.x,org_name.y,org_city.y,org_state.y,lat.y,lon.y,org_name.dist,org_city.dist,org_state.dist,org_name
University of Arkansas for Medical Sciences,Little Rock,AR,34.749,-92.3201,University of Arkansas Little Rock,Little Rock,AR,34.7226383,-92.3398594,0.186282372,5.55E-17,5.55E-17,University of Arkansas Little Rock
University of California Berkeley,Berkeley,CA,37.87002,-122.26862,University of California-Berkeley,Berkeley,CA,37.8718862,-122.2603499,0.02020202,5.55E-17,5.55E-17,University of California Berkeley
University of California Los Angeles,Los Angeles,CA,34.0702,-118.45102,University of California-Los Angeles,Los Angeles,CA,34.0591198,-118.4434761,0.037566138,5.55E-17,5.55E-17,University of California Los Angeles
University of California Los Angeles,Los Angeles,CA,34.0702,-118.45102,University of Southern California,Los Angeles,CA,34.0173811,-118.2810469,0.201960077,5.55E-17,5.55E-17,NA
University of California Riverside,Riverside,CA,33.97259,-117.35036,University of California-Riverside,Riverside,CA,33.9756518,-117.3311106,0.019607843,5.55E-17,5.55E-17,University of California Riverside
University of California Santa Barbara,Santa Barbara,CA,34.43131,-119.83428,University of California-Santa Barbara,Santa Barbara,CA,34.4162819,-119.8464146,0.044570887,5.55E-17,5.55E-17,University of California Santa Barbara
University of California Santa Barbara,Santa Barbara,CA,34.43131,-119.83428,University of California-Santa Cruz,Santa Cruz,CA,36.9834948,-122.0564004,0.131756811,0.253846154,5.55E-17,NA
University of California Santa Cruz,Santa Cruz,CA,36.97756,-122.05584,University of California-Santa Barbara,Santa Barbara,CA,34.4162819,-119.8464146,0.131756811,0.253846154,5.55E-17,NA
University of California Santa Cruz,Santa Cruz,CA,36.97756,-122.05584,University of California-Santa Cruz,Santa Cruz,CA,36.9834948,-122.0564004,0.048459384,5.55E-17,5.55E-17,University of California Santa Cruz
University of California at Davis,Davis,CA,38.54337,-121.72946,University of California-Davis,Davis,CA,38.5432833,-121.7296437,0.063009404,5.55E-17,5.55E-17,University of California at Davis
"University of California, Merced",Merced,CA,37.35131,-120.4324,University of California - Merced,Merced,CA,37.3656441,-120.43184,0.030618687,5.55E-17,5.55E-17,University of California Merced
"University of California, San Diego",La Jolla,CA,32.87699,-117.24087,University of California-San Diego,La Jolla,CA,32.8830665,-117.2338296,0.049053561,5.55E-17,5.55E-17,University of California San Diego
"University of California, San Francisco",San Francisco,CA,37.76744,-122.41394,California State University San Marcos Corporation,San Marcos,CA,33.1313513,-117.1581182,0.277045177,0.20997151,5.55E-17,NA
"University of California, San Francisco",San Francisco,CA,37.76744,-122.41394,University Enterprises Corporation at CSUB,San Bernardino,CA,34.1832627,-117.3219374,0.288461538,0.258648759,5.55E-17,NA
"University of California, San Francisco",San Francisco,CA,37.76744,-122.41394,University of California-San Francisco,San Francisco,CA,37.7673395,-122.4150481,0.043883965,5.55E-17,5.55E-17,University of California San Francisco
"University of California, San Francisco",San Francisco,CA,37.76744,-122.41394,University of San Diego,San Diego,CA,32.7719176,-117.1874994,0.255871423,0.290598291,5.55E-17,NA
University of Central Florida,Orlando,FL,28.60103,-81.19727,The University of Central Florida Board of Trustees,Orlando,FL,28.6023344,-81.2037431,0.270227631,5.55E-17,5.55E-17,University of Central Florida
University of Chicago,Chicago,IL,41.78955,-87.60117,Loyola University of Chicago,Chicago,IL,41.8972869,-87.6242423,0.242063492,5.55E-17,5.55E-17,NA
University of Chicago,Chicago,IL,41.78955,-87.60117,University of Illinois at Chicago,Chicago,IL,41.8711529,-87.6671751,0.176767677,5.55E-17,5.55E-17,NA
University of Cincinnati,Cincinnati,OH,39.12972,-84.52055,University of Cincinnati Main Campus,Cincinnati,OH,39.1321118,-84.514354,0.111111111,5.55E-17,5.55E-17,University of Cincinnati
University of Colorado-Boulder,Boulder,CO,38.89128,-104.80006,University of Colorado at Boulder,Boulder,CO,40.0134211,-105.251946,0.051515152,5.55E-17,5.55E-17,University of Colorado - Boulder
University of Colorado-Boulder,Boulder,CO,40.0133,-105.25193,University of Colorado at Boulder,Boulder,CO,40.0134211,-105.251946,0.051515152,5.55E-17,5.55E-17,University of Colorado - Boulder
University of Colorado-Colorado Springs,Colorado Springs,CO,38.89128,-104.80006,University of Colorado at Colorado Springs,Colorado Springs,CO,38.8937421,-104.803216,0.07538076,5.55E-17,5.55E-17,University of Colorado - Colorado Springs
University of Colorado-Colorado Springs,Colorado Springs,CO,40.0133,-105.25193,University of Colorado at Colorado Springs,Colorado Springs,CO,38.8937421,-104.803216,0.07538076,5.55E-17,5.55E-17,University of Colorado - Colorado Springs
University of Connecticut Storrs,Storrs-Mansfield,CT,41.81142,-72.24755,University of Connecticut,Storrs,CT,41.8059143,-72.2519933,0.072916667,0.208333333,5.55E-17,University of Connecticut
University of Denver (Colorado Seminary),Denver,CO,39.67664,-104.95948,University of Colorado at Denver-Downtown Campus,Denver,CO,39.7460713,-104.9992154,0.253409091,5.55E-17,5.55E-17,NA
University of Denver (Colorado Seminary),Denver,CO,39.67664,-104.95948,University of Denver,Denver,CO,39.6765877,-104.9614396,0.166666667,5.55E-17,5.55E-17,University of Denver
University of Georgia,Athens,GA,33.93117,-83.37887,University of Georgia Research Foundation Inc.,Athens,GA,33.9426463,-83.3711249,0.18115942,5.55E-17,5.55E-17,University of Georgia
University of Hawaii at Manoa,Honolulu,HI,21.2992,-157.82037,University of Hawaii,Honolulu,HI,21.2984663,-157.8204149,0.103448276,5.55E-17,5.55E-17,University of Hawaii at Manoa
University of Houston,Houston,TX,29.71809,-95.33648,University of Houston - Clear Lake,Houston,TX,29.5822342,-95.0983932,0.12745098,5.55E-17,5.55E-17,University of Houston
University of Houston,Houston,TX,29.71809,-95.33648,University of Texas at Austin,Austin,TX,30.2861062,-97.7393634,0.201833607,0.253968254,5.55E-17,NA
University of Illinois at Chicago,Chicago,IL,41.87151,-87.66772,Loyola University of Chicago,Chicago,IL,41.8972869,-87.6242423,0.284361472,5.55E-17,5.55E-17,NA
University of Illinois at Chicago,Chicago,IL,41.87151,-87.66772,University of Chicago,Chicago,IL,41.7895737,-87.6009163,0.176767677,5.55E-17,5.55E-17,NA
University of Kansas Lawrence,Lawrence,KS,38.95154,-95.26556,University of Kansas Center for Research Inc.,Lawrence,KS,38.9515322,-95.2656484,0.187186037,5.55E-17,5.55E-17,University of Kansas Lawrence
University of Kentucky,Lexington,KY,38.04096,-84.50589,University of Kentucky Research Foundation,Lexington,KY,38.0406592,-84.5057506,0.158730159,5.55E-17,5.55E-17,University of Kentucky
University of Maryland Baltimore,Baltimore,MD,39.25246,-76.71121,University of Maryland Baltimore County,Baltimore,MD,39.2581028,-76.708703,0.05982906,5.55E-17,5.55E-17,University of Maryland Baltimore
University of Maryland Baltimore,Baltimore,MD,39.29225,-76.62563,University of Maryland Baltimore County,Baltimore,MD,39.2581028,-76.708703,0.05982906,5.55E-17,5.55E-17,University of Maryland Baltimore
University of Michigan at Ann Arbor,Ann Arbor,MI,42.27549,-83.74304,Regents of the University of Michigan - Ann Arbor,Ann Arbor,MI,42.2783824,-83.7344412,0.268427371,5.55E-17,5.55E-17,University of Michigan at Ann Arbor
University of Minnesota,Minneapolis,MN,44.97514,-93.227,University of Minnesota-Twin Cities,Minneapolis,MN,44.9749363,-93.2240452,0.114285714,5.55E-17,5.55E-17,University of Minnesota - Twin Cities
University of Missouri-Columbia,Columbia,MO,38.94823,-92.32734,University of Missouri-Kansas City,Columbia,MO,38.9367982,-92.3410324,0.151425583,5.55E-17,5.55E-17,NA
University of Nebraska Lincoln,Lincoln,NE,40.82302,-96.67344,University of Nebraska-Lincoln,Lincoln,NE,40.821743,-96.6893099,0.022222222,5.55E-17,5.55E-17,University of Nebraska Lincoln
University of Nebraska Medical Center,Omaha,NE,41.266,-96.01003,University of Nebraska at Omaha,Omaha,NE,41.2582497,-96.0107049,0.165683053,5.55E-17,5.55E-17,University of Nebraska at Omaha
University of Nevada Reno,Reno,NV,39.54508,-119.81828,"University of Nevada, Reno",Reno,NV,39.5489717,-119.8140262,0.012820513,5.55E-17,5.55E-17,University of Nevada Reno
University of North Carolina Chapel Hill,Chapel Hill,NC,35.9316,-79.05738,University of North Carolina at Chapel Hill,Chapel Hill,NC,35.9316668,-79.0573553,0.052422481,5.55E-17,5.55E-17,University of North Carolina Chapel Hill
University of North Carolina Charlotte,Charlotte,NC,35.30165,-80.73145,University of North Carolina at Charlotte,Charlotte,NC,35.3052642,-80.730475,0.055091998,5.55E-17,5.55E-17,University of North Carolina Charlotte
University of North Florida,Jacksonville,FL,30.27067,-81.51043,University of Florida,Gainesville,FL,29.6492253,-82.3419929,0.105820106,0.243686869,5.55E-17,NA
University of North Texas,Denton,TX,33.21077,-97.14777,University of Texas at Arlington,Arlington,TX,32.7291589,-97.1151722,0.185634058,0.296296296,5.55E-17,NA
University of Oklahoma,Norman,OK,35.20922,-97.44378,University of Oklahoma Norman Campus,Norman,OK,35.2085221,-97.4457026,0.12962963,5.55E-17,5.55E-17,University of Oklahoma Norman
University of Oregon,Eugene,OR,44.04551,-123.06974,University of Oregon Eugene,Eugene,OR,44.0449654,-123.0670199,0.086419753,5.55E-17,5.55E-17,University of Oregon Eugene
University of Pittsburgh at Pittsburgh,Pittsburgh,PA,40.44091,-79.95912,University of Pittsburgh,Pittsburgh,PA,40.4442519,-79.9533419,0.122807018,5.55E-17,5.55E-17,University of Pittsburgh
