OID_,Join_Count,New119Fips,GEOID,NAMELSAD,lat,lon,GEOID_1,STATEFP,CD119FP,GEOIDFQ
141,1,611,611,Congressional District 11,37.804471999999997,-122.437477000000001,0611,06,11,5001900US0611
142,1,611,611,Congressional District 11,37.779561000000001,-122.393039999999999,0611,06,11,5001900US0611
143,1,611,611,Congressional District 11,37.765169000000000,-122.394146000000006,0611,06,11,5001900US0611
144,1,502,502,Congressional District 2,34.749004999999997,-92.320097000000004,0502,05,02,5001900US0502
145,1,502,502,Congressional District 2,34.743524000000001,-92.291365999999996,0502,05,02,5001900US0502
146,1,502,502,Congressional District 2,34.751683000000000,-92.326290000000000,0502,05,02,5001900US0502
147,1,502,502,Congressional District 2,34.789546000000001,-92.458202999999997,0502,05,02,5001900US0502
148,1,502,502,Congressional District 2,34.727612000000001,-92.404769999999999,0502,05,02,5001900US0502
149,1,502,502,Congressional District 2,35.090561999999998,-92.440770999999998,0502,05,02,5001900US0502
150,1,502,502,Congressional District 2,34.758493000000001,-92.388548999999998,0502,05,02,5001900US0502
151,1,502,502,Congressional District 2,34.746366000000002,-92.320492999999999,0502,05,02,5001900US0502
152,1,502,502,Congressional District 2,34.914951000000002,-92.805859999999996,0502,05,02,5001900US0502
153,1,502,502,Congressional District 2,34.778436999999997,-92.369681000000000,0502,05,02,5001900US0502
154,1,502,502,Congressional District 2,34.721246999999998,-92.340394000000003,0502,05,02,5001900US0502
155,1,200,200,Congressional District (at Large),58.301461000000003,-134.410329999999988,0200,02,00,5001900US0200
156,1,200,200,Congressional District (at Large),58.301105999999997,-134.414287000000002,0200,02,00,5001900US0200
157,1,200,200,Congressional District (at Large),57.082968999999999,-135.378856000000013,0200,02,00,5001900US0200
158,1,200,200,Congressional District (at Large),61.201281000000002,-149.815886000000006,0200,02,00,5001900US0200
159,1,200,200,Congressional District (at Large),57.050285000000002,-135.334924000000001,0200,02,00,5001900US0200
160,1,200,200,Congressional District (at Large),61.195391999999998,-149.892682000000008,0200,02,00,5001900US0200
161,1,200,200,Congressional District (at Large),58.381900999999999,-134.640710000000013,0200,02,00,5001900US0200
162,1,200,200,Congressional District (at Large),64.860731999999999,-147.822935000000001,0200,02,00,5001900US0200
163,1,200,200,Congressional District (at Large),61.216441000000003,-149.894895999999989,0200,02,00,5001900US0200
164,1,401,401,Congressional District 1,33.743685999999997,-111.864964999999998,0401,04,01,5001900US0401
165,1,401,401,Congressional District 1,33.464115999999997,-111.923527000000007,0401,04,01,5001900US0401
166,1,401,401,Congressional District 1,33.583742999999998,-111.795117000000005,0401,04,01,5001900US0401
167,1,401,401,Congressional District 1,33.464602999999997,-111.922989000000001,0401,04,01,5001900US0401
168,1,401,401,Congressional District 1,33.576234999999997,-111.912768000000000,0401,04,01,5001900US0401
169,1,401,401,Congressional District 1,33.594265999999998,-111.873541000000003,0401,04,01,5001900US0401
170,1,401,401,Congressional District 1,33.596017000000003,-111.743975000000006,0401,04,01,5001900US0401
171,1,401,401,Congressional District 1,33.567005999999999,-111.933893999999995,0401,04,01,5001900US0401
172,1,403,403,Congressional District 3,33.441778999999997,-112.025717000000000,0403,04,03,5001900US0403
173,1,403,403,Congressional District 3,33.449322000000002,-112.095741000000004,0403,04,03,5001900US0403
174,1,403,403,Congressional District 3,33.449962999999997,-112.099175000000002,0403,04,03,5001900US0403
175,1,403,403,Congressional District 3,33.496960999999999,-112.066777999999999,0403,04,03,5001900US0403
176,1,402,402,Congressional District 2,35.224939999999997,-111.603635999999995,0402,04,02,5001900US0402
177,1,402,402,Congressional District 2,35.198306000000002,-111.632141000000004,0402,04,02,5001900US0402
178,1,402,402,Congressional District 2,35.157929000000003,-111.645604000000006,0402,04,02,5001900US0402
179,1,101,101,Congressional District 1,30.249458000000001,-88.077481000000006,0101,01,01,5001900US0101
180,1,101,101,Congressional District 1,30.574957999999999,-88.137196000000003,0101,01,01,5001900US0101
181,1,503,503,Congressional District 3,36.042285000000000,-94.168103000000002,0503,05,03,5001900US0503
182,1,503,503,Congressional District 3,36.172032999999999,-94.117253000000005,0503,05,03,5001900US0503
183,1,503,503,Congressional District 3,36.070954000000000,-94.177024000000003,0503,05,03,5001900US0503
184,1,503,503,Congressional District 3,35.326436999999999,-94.423658000000003,0503,05,03,5001900US0503
185,1,106,106,Congressional District 6,33.426749999999998,-86.768720999999999,0106,01,06,5001900US0106
186,1,107,106,Congressional District 6,33.376682000000002,-86.835203000000007,0107,01,07,5001900US0107
187,1,107,106,Congressional District 6,33.378709000000001,-86.832601999999994,0107,01,07,5001900US0107
188,1,106,106,Congressional District 6,33.403565000000000,-86.711682999999994,0106,01,06,5001900US0106
189,1,106,106,Congressional District 6,33.476605999999997,-86.695089999999993,0106,01,06,5001900US0106
190,1,406,406,Congressional District 6,32.294851999999999,-110.948830999999998,0406,04,06,5001900US0406
191,1,406,406,Congressional District 6,32.286935000000000,-110.945376999999993,0406,04,06,5001900US0406
192,1,406,406,Congressional District 6,32.244401000000003,-110.718620999999999,0406,04,06,5001900US0406
193,1,406,406,Congressional District 6,32.322319999999998,-110.955968999999996,0406,04,06,5001900US0406
194,1,406,406,Congressional District 6,32.305982999999998,-111.001050000000006,0406,04,06,5001900US0406
195,1,406,406,Congressional District 6,32.311369999999997,-110.854641999999998,0406,04,06,5001900US0406
196,1,406,406,Congressional District 6,32.331130999999999,-110.954143000000002,0406,04,06,5001900US0406
197,1,406,406,Congressional District 6,32.332954000000001,-110.865914000000004,0406,04,06,5001900US0406
198,1,406,406,Congressional District 6,32.006669000000002,-110.695144999999997,0406,04,06,5001900US0406
199,1,406,406,Congressional District 6,32.239646000000000,-110.821894999999998,0406,04,06,5001900US0406
200,1,406,406,Congressional District 6,32.240997999999998,-110.858357999999996,0406,04,06,5001900US0406
201,1,406,406,Congressional District 6,32.319425000000003,-111.015285000000006,0406,04,06,5001900US0406
202,1,406,406,Congressional District 6,32.295819000000002,-110.842138000000006,0406,04,06,5001900US0406
203,1,406,406,Congressional District 6,32.441471999999997,-110.941517000000005,0406,04,06,5001900US0406
204,1,105,105,Congressional District 5,34.770465999999999,-86.749611000000002,0105,01,05,5001900US0105
205,1,105,105,Congressional District 5,34.774234999999997,-86.685292000000004,0105,01,05,5001900US0105
206,1,105,105,Congressional District 5,34.637182000000003,-86.566244999999995,0105,01,05,5001900US0105
207,1,408,408,Congressional District 8,33.587121000000003,-112.108594999999994,0408,04,08,5001900US0408
208,1,802,802,Congressional District 2,40.065033000000000,-105.210977999999997,0802,08,02,5001900US0802
209,1,802,802,Congressional District 2,39.997521999999996,-105.269520000000000,0802,08,02,5001900US0802
210,1,802,802,Congressional District 2,40.572240000000001,-105.086088000000004,0802,08,02,5001900US0802
211,1,802,802,Congressional District 2,40.002437000000000,-105.128332999999998,0802,08,02,5001900US0802
212,1,802,802,Congressional District 2,40.594292000000003,-105.075657000000007,0802,08,02,5001900US0802
213,1,802,802,Congressional District 2,40.555272000000002,-105.087756999999996,0802,08,02,5001900US0802
214,1,802,802,Congressional District 2,40.596471000000001,-105.071809999999999,0802,08,02,5001900US0802
215,1,802,802,Congressional District 2,40.516643000000002,-105.094683000000003,0802,08,02,5001900US0802
216,1,802,802,Congressional District 2,40.018656000000000,-105.279848999999999,0802,08,02,5001900US0802
217,1,802,802,Congressional District 2,40.021673000000000,-105.217093000000006,0802,08,02,5001900US0802
218,1,802,802,Congressional District 2,39.992956000000000,-105.107303000000002,0802,08,02,5001900US0802
219,1,802,802,Congressional District 2,40.103380000000001,-105.163083000000000,0802,08,02,5001900US0802
220,1,802,802,Congressional District 2,39.980871000000000,-105.137561000000005,0802,08,02,5001900US0802
221,1,802,802,Congressional District 2,40.588061000000003,-105.066278999999994,0802,08,02,5001900US0802
222,1,802,802,Congressional District 2,40.514201000000000,-105.031164000000004,0802,08,02,5001900US0802
223,1,802,802,Congressional District 2,40.577666999999998,-105.069361000000001,0802,08,02,5001900US0802
224,1,802,802,Congressional District 2,40.031637000000003,-105.243404999999996,0802,08,02,5001900US0802
225,1,802,802,Congressional District 2,40.045434999999998,-105.213243000000006,0802,08,02,5001900US0802
226,1,802,802,Congressional District 2,40.060259000000002,-105.202768000000006,0802,08,02,5001900US0802
227,1,802,802,Congressional District 2,40.032491999999998,-105.213458000000003,0802,08,02,5001900US0802
228,1,802,802,Congressional District 2,40.006943999999997,-105.256836000000007,0802,08,02,5001900US0802
229,1,802,802,Congressional District 2,39.984513000000000,-105.094088999999997,0802,08,02,5001900US0802
230,1,802,802,Congressional District 2,40.036206000000000,-105.241964999999993,0802,08,02,5001900US0802
231,1,802,802,Congressional District 2,40.037236999999998,-105.281298000000007,0802,08,02,5001900US0802
232,1,802,802,Congressional District 2,40.596485999999999,-105.071830000000006,0802,08,02,5001900US0802
233,1,802,802,Congressional District 2,39.978783000000000,-105.241453000000007,0802,08,02,5001900US0802
234,1,802,802,Congressional District 2,40.569741999999998,-105.099306999999996,0802,08,02,5001900US0802
235,1,802,802,Congressional District 2,40.523715000000003,-105.131411000000000,0802,08,02,5001900US0802
236,1,802,802,Congressional District 2,40.015622000000000,-105.222686999999993,0802,08,02,5001900US0802
237,1,405,405,Congressional District 5,33.347175000000000,-111.815314000000001,0405,04,05,5001900US0405
238,1,903,903,Congressional District 3,41.287199000000001,-72.674627999999998,0903,09,03,5001900US0903
239,1,903,903,Congressional District 3,41.304974000000001,-72.931337999999997,0903,09,03,5001900US0903
240,1,903,903,Congressional District 3,41.389752999999999,-72.897631000000004,0903,09,03,5001900US0903
241,1,903,903,Congressional District 3,41.283664999999999,-72.960451000000006,0903,09,03,5001900US0903
242,1,903,903,Congressional District 3,41.330526999999996,-72.944574000000003,0903,09,03,5001900US0903
243,1,903,903,Congressional District 3,41.304639999999999,-72.931022999999996,0903,09,03,5001900US0903
244,1,903,903,Congressional District 3,41.299233000000001,-72.751687000000004,0903,09,03,5001900US0903
245,1,903,903,Congressional District 3,41.310626999999997,-72.936841000000001,0903,09,03,5001900US0903
246,1,903,903,Congressional District 3,41.307965000000003,-72.924205000000001,0903,09,03,5001900US0903
247,1,903,903,Congressional District 3,41.309486999999997,-72.923595000000006,0903,09,03,5001900US0903
248,1,903,903,Congressional District 3,41.306958999999999,-72.924419999999998,0903,09,03,5001900US0903
249,1,903,903,Congressional District 3,41.339289999999998,-72.916663999999997,0903,09,03,5001900US0903
250,1,903,903,Congressional District 3,41.323709000000001,-72.927779000000001,0903,09,03,5001900US0903
251,1,903,903,Congressional District 3,41.302033000000002,-72.932564999999997,0903,09,03,5001900US0903
252,1,903,903,Congressional District 3,41.421404000000003,-72.895075000000006,0903,09,03,5001900US0903
253,1,903,903,Congressional District 3,41.314906999999998,-72.905559999999994,0903,09,03,5001900US0903
