countyyequivalent,statename,CountyFIPS,CBSA_NAME,Micro_Metro,CSA_NAME,CBSA_FIPS,CSA_FIPS,centraloutlyingcounty
Gallatin County,Kentucky,21077,"Cincinnati, OH-KY-IN",Metro Area,"Cincinnati-Wilmington, OH-KY-IN",17140,178,Outlying
Grant County,Kentucky,21081,"Cincinnati, OH-KY-IN",Metro Area,"Cincinnati-Wilmington, OH-KY-IN",17140,178,Outlying
Graves County,Kentucky,21083,"Mayfield, KY",Micro Area,"Paducah-Mayfield, KY-IL",32460,424,Central
Green County,Kentucky,21087,"Campbellsville, KY",Micro Area,,15820,,Outlying
Greenup County,Kentucky,21089,"Huntington-Ashland, WV-KY-OH",Metro Area,"Charleston-Huntington-Ashland, WV-OH-KY",26580,170,Central
Hardin County,Kentucky,21093,"Elizabethtown, KY",Metro Area,"Louisville/Jefferson County--Elizabethtown, KY-IN",21060,350,Central
Henderson County,Kentucky,21101,"Henderson, KY",Micro Area,"Evansville-Henderson, IN-KY",25775,241,Central
Henry County,Kentucky,21103,"Louisville/Jefferson County, KY-IN",Metro Area,"Louisville/Jefferson County--Elizabethtown, KY-IN",31140,350,Outlying
Hopkins County,Kentucky,21107,"Madisonville, KY",Micro Area,,31580,,Central
Jefferson County,Kentucky,21111,"Louisville/Jefferson County, KY-IN",Metro Area,"Louisville/Jefferson County--Elizabethtown, KY-IN",31140,350,Central
Jessamine County,Kentucky,21113,"Lexington-Fayette, KY",Metro Area,"Lexington-Fayette--Richmond--Frankfort, KY",30460,336,Outlying
Kenton County,Kentucky,21117,"Cincinnati, OH-KY-IN",Metro Area,"Cincinnati-Wilmington, OH-KY-IN",17140,178,Central
Knox County,Kentucky,21121,"Corbin, KY",Micro Area,"Middlesborough-Corbin, KY",18340,371,Central
Larue County,Kentucky,21123,"Elizabethtown, KY",Metro Area,"Louisville/Jefferson County--Elizabethtown, KY-IN",21060,350,Outlying
Laurel County,Kentucky,21125,"Corbin, KY",Micro Area,"Middlesborough-Corbin, KY",18340,371,Central
Lawrence County,Kentucky,21127,"Huntington-Ashland, WV-KY-OH",Metro Area,"Charleston-Huntington-Ashland, WV-OH-KY",26580,170,Outlying
Lincoln County,Kentucky,21137,"Danville, KY",Micro Area,,19220,,Outlying
Livingston County,Kentucky,21139,"Paducah, KY-IL",Metro Area,"Paducah-Mayfield, KY-IL",37140,424,Outlying
McCracken County,Kentucky,21145,"Paducah, KY-IL",Metro Area,"Paducah-Mayfield, KY-IL",37140,424,Central
McLean County,Kentucky,21149,"Owensboro, KY",Metro Area,,36980,,Outlying
Madison County,Kentucky,21151,"Richmond-Berea, KY",Micro Area,"Lexington-Fayette--Richmond--Frankfort, KY",40080,336,Central
Meade County,Kentucky,21163,"Louisville/Jefferson County, KY-IN",Metro Area,"Louisville/Jefferson County--Elizabethtown, KY-IN",31140,350,Outlying
Menifee County,Kentucky,21165,"Mount Sterling, KY",Micro Area,"Lexington-Fayette--Richmond--Frankfort, KY",34460,336,Outlying
Metcalfe County,Kentucky,21169,"Glasgow, KY",Micro Area,"Bowling Green-Glasgow-Franklin, KY",23980,150,Outlying
Montgomery County,Kentucky,21173,"Mount Sterling, KY",Micro Area,"Lexington-Fayette--Richmond--Frankfort, KY",34460,336,Central
Nelson County,Kentucky,21179,"Louisville/Jefferson County, KY-IN",Metro Area,"Louisville/Jefferson County--Elizabethtown, KY-IN",31140,350,Outlying
Oldham County,Kentucky,21185,"Louisville/Jefferson County, KY-IN",Metro Area,"Louisville/Jefferson County--Elizabethtown, KY-IN",31140,350,Central
Pendleton County,Kentucky,21191,"Cincinnati, OH-KY-IN",Metro Area,"Cincinnati-Wilmington, OH-KY-IN",17140,178,Outlying
Pike County,Kentucky,21195,"Pikeville, KY",Micro Area,,38210,,Central
Pulaski County,Kentucky,21199,"Somerset, KY",Micro Area,,43700,,Central
Rockcastle County,Kentucky,21203,"Richmond-Berea, KY",Micro Area,"Lexington-Fayette--Richmond--Frankfort, KY",40080,336,Outlying
Scott County,Kentucky,21209,"Lexington-Fayette, KY",Metro Area,"Lexington-Fayette--Richmond--Frankfort, KY",30460,336,Outlying
Shelby County,Kentucky,21211,"Louisville/Jefferson County, KY-IN",Metro Area,"Louisville/Jefferson County--Elizabethtown, KY-IN",31140,350,Outlying
Simpson County,Kentucky,21213,"Franklin, KY",Micro Area,"Bowling Green-Glasgow-Franklin, KY",23190,150,Central
Spencer County,Kentucky,21215,"Louisville/Jefferson County, KY-IN",Metro Area,"Louisville/Jefferson County--Elizabethtown, KY-IN",31140,350,Outlying
Taylor County,Kentucky,21217,"Campbellsville, KY",Micro Area,,15820,,Central
Trigg County,Kentucky,21221,"Clarksville, TN-KY",Metro Area,,17300,,Outlying
Warren County,Kentucky,21227,"Bowling Green, KY",Metro Area,"Bowling Green-Glasgow-Franklin, KY",14540,150,Central
Webster County,Kentucky,21233,"Henderson, KY",Micro Area,"Evansville-Henderson, IN-KY",25775,241,Outlying
Whitley County,Kentucky,21235,"Corbin, KY",Micro Area,"Middlesborough-Corbin, KY",18340,371,Central
Woodford County,Kentucky,21239,"Lexington-Fayette, KY",Metro Area,"Lexington-Fayette--Richmond--Frankfort, KY",30460,336,Outlying
Acadia Parish,Louisiana,22001,"Lafayette, LA",Metro Area,"Lafayette-New Iberia-Opelousas, LA",29180,318,Outlying
Ascension Parish,Louisiana,22005,"Baton Rouge, LA",Metro Area,"Baton Rouge-Hammond, LA",12940,132,Central
Assumption Parish,Louisiana,22007,"Baton Rouge, LA",Metro Area,"Baton Rouge-Hammond, LA",12940,132,Outlying
Beauregard Parish,Louisiana,22011,"DeRidder, LA",Micro Area,"Lake Charles-DeRidder, LA",19760,324,Central
Bossier Parish,Louisiana,22015,"Shreveport-Bossier City, LA",Metro Area,"Shreveport-Bossier City-Minden, LA",43340,508,Central
Caddo Parish,Louisiana,22017,"Shreveport-Bossier City, LA",Metro Area,"Shreveport-Bossier City-Minden, LA",43340,508,Central
Calcasieu Parish,Louisiana,22019,"Lake Charles, LA",Metro Area,"Lake Charles-DeRidder, LA",29340,324,Central
Cameron Parish,Louisiana,22023,"Lake Charles, LA",Metro Area,"Lake Charles-DeRidder, LA",29340,324,Outlying
Concordia Parish,Louisiana,22029,"Natchez, MS-LA",Micro Area,,35020,,Central
De Soto Parish,Louisiana,22031,"Shreveport-Bossier City, LA",Metro Area,"Shreveport-Bossier City-Minden, LA",43340,508,Outlying
East Baton Rouge Parish,Louisiana,22033,"Baton Rouge, LA",Metro Area,"Baton Rouge-Hammond, LA",12940,132,Central
East Feliciana Parish,Louisiana,22037,"Baton Rouge, LA",Metro Area,"Baton Rouge-Hammond, LA",12940,132,Outlying
Grant Parish,Louisiana,22043,"Alexandria, LA",Metro Area,,10780,,Outlying
Iberia Parish,Louisiana,22045,"New Iberia, LA",Micro Area,"Lafayette-New Iberia-Opelousas, LA",35340,318,Central
Iberville Parish,Louisiana,22047,"Baton Rouge, LA",Metro Area,"Baton Rouge-Hammond, LA",12940,132,Central
Jefferson Parish,Louisiana,22051,"New Orleans-Metairie, LA",Metro Area,"New Orleans-Metairie-Slidell, LA-MS",35380,406,Central
Jefferson Davis Parish,Louisiana,22053,"Lake Charles, LA",Metro Area,"Lake Charles-DeRidder, LA",29340,324,Outlying
Lafayette Parish,Louisiana,22055,"Lafayette, LA",Metro Area,"Lafayette-New Iberia-Opelousas, LA",29180,318,Central
Lafourche Parish,Louisiana,22057,"Houma-Bayou Cane-Thibodaux, LA",Metro Area,,26380,,Central
Lincoln Parish,Louisiana,22061,"Ruston, LA",Micro Area,"Monroe-Ruston, LA",40820,384,Central
Livingston Parish,Louisiana,22063,"Baton Rouge, LA",Metro Area,"Baton Rouge-Hammond, LA",12940,132,Central
Morehouse Parish,Louisiana,22067,"Monroe, LA",Metro Area,"Monroe-Ruston, LA",33740,384,Outlying
Natchitoches Parish,Louisiana,22069,"Natchitoches, LA",Micro Area,,35060,,Central
Orleans Parish,Louisiana,22071,"New Orleans-Metairie, LA",Metro Area,"New Orleans-Metairie-Slidell, LA-MS",35380,406,Central
Ouachita Parish,Louisiana,22073,"Monroe, LA",Metro Area,"Monroe-Ruston, LA",33740,384,Central
Plaquemines Parish,Louisiana,22075,"New Orleans-Metairie, LA",Metro Area,"New Orleans-Metairie-Slidell, LA-MS",35380,406,Central
Pointe Coupee Parish,Louisiana,22077,"Baton Rouge, LA",Metro Area,"Baton Rouge-Hammond, LA",12940,132,Outlying
Rapides Parish,Louisiana,22079,"Alexandria, LA",Metro Area,,10780,,Central
Richland Parish,Louisiana,22083,"Monroe, LA",Metro Area,"Monroe-Ruston, LA",33740,384,Outlying
St. Bernard Parish,Louisiana,22087,"New Orleans-Metairie, LA",Metro Area,"New Orleans-Metairie-Slidell, LA-MS",35380,406,Central
St. Charles Parish,Louisiana,22089,"New Orleans-Metairie, LA",Metro Area,"New Orleans-Metairie-Slidell, LA-MS",35380,406,Central
St. Helena Parish,Louisiana,22091,"Baton Rouge, LA",Metro Area,"Baton Rouge-Hammond, LA",12940,132,Outlying
St. James Parish,Louisiana,22093,"New Orleans-Metairie, LA",Metro Area,"New Orleans-Metairie-Slidell, LA-MS",35380,406,Central
St. John the Baptist Parish,Louisiana,22095,"New Orleans-Metairie, LA",Metro Area,"New Orleans-Metairie-Slidell, LA-MS",35380,406,Central
St. Landry Parish,Louisiana,22097,"Opelousas, LA",Micro Area,"Lafayette-New Iberia-Opelousas, LA",36660,318,Central
St. Martin Parish,Louisiana,22099,"Lafayette, LA",Metro Area,"Lafayette-New Iberia-Opelousas, LA",29180,318,Outlying
