table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),
MSA,pop_2024
".Washington, IN Micro Area","34,097"
".Washington, NC Micro Area","44,576"
".Washington Court House, OH Micro Area","28,782"
".Watertown, SD Micro Area","29,278"
".Watertown-Fort Atkinson, WI Micro Area","86,245"
".Waycross, GA Micro Area","56,891"
".Waynesville, NC Micro Area","63,048"
".Weatherford, OK Micro Area","39,105"
".West Plains, MO Micro Area","40,762"
".Whitewater-Elkhorn, WI Micro Area","106,029"
".Williston, ND Micro Area","40,763"
".Willmar, MN Micro Area","44,674"
".Wilmington, OH Micro Area","42,019"
".Wilson, NC Micro Area","79,958"
".Winchester, TN Micro Area","45,137"
".Winnemucca, NV Micro Area","17,116"
".Winona, MN Micro Area","49,973"
".Wisconsin Rapids-Marshfield, WI Micro Area","73,943"
".Woodward, OK Micro Area","19,991"
".Wooster, OH Micro Area","116,632"
".Worthington, MN Micro Area","21,969"
".Yankton, SD Micro Area","23,509"
".Zanesville, OH Micro Area","86,582"
".Zapata, TX Micro Area","13,819"
".Abilene, TX Metro Area","184,278"
".Akron, OH Metro Area","702,209"
".Albany, GA Metro Area","145,451"
".Albany, OR Metro Area","132,474"
".Albany-Schenectady-Troy, NY Metro Area","913,485"
".Albuquerque, NM Metro Area","926,303"
".Alexandria, LA Metro Area","148,008"
".Allentown-Bethlehem-Easton, PA-NJ Metro Area","886,418"
".Altoona, PA Metro Area","120,269"
".Amarillo, TX Metro Area","274,650"
".Ames, IA Metro Area","129,227"
".Amherst Town-Northampton, MA Metro Area","165,399"
".Anchorage, AK Metro Area","407,213"
".Ann Arbor, MI Metro Area","373,875"
".Anniston-Oxford, AL Metro Area","116,427"
".Appleton, WI Metro Area","248,992"
".Asheville, NC Metro Area","422,333"
".Athens-Clarke County, GA Metro Area","223,689"
".Atlanta-Sandy Springs-Roswell, GA Metro Area","6,411,149"
"..Atlanta-Sandy Springs-Roswell, GA Metro Division","4,991,637"
"..Marietta, GA Metro Division","1,419,512"
".Atlantic City-Hammonton, NJ Metro Area","372,989"
".Auburn-Opelika, AL Metro Area","206,006"
".Augusta-Richmond County, GA-SC Metro Area","636,760"
".Austin-Round Rock-San Marcos, TX Metro Area","2,550,637"
".Bakersfield-Delano, CA Metro Area","922,529"
".Baltimore-Columbia-Towson, MD Metro Area","2,859,024"
".Bangor, ME Metro Area","156,840"
".Barnstable Town, MA Metro Area","232,570"
".Baton Rouge, LA Metro Area","882,652"
".Battle Creek, MI Metro Area","133,785"
".Bay City, MI Metro Area","102,651"
".Beaumont-Port Arthur, TX Metro Area","398,733"
".Beckley, WV Metro Area","110,979"
".Bellingham, WA Metro Area","234,954"
".Bend, OR Metro Area","264,407"
".Billings, MT Metro Area","192,531"
".Binghamton, NY Metro Area","243,971"
".Birmingham, AL Metro Area","1,192,583"
".Bismarck, ND Metro Area","139,183"
".Blacksburg-Christiansburg-Radford, VA Metro Area","182,041"
".Bloomington, IL Metro Area","172,069"
".Bloomington, IN Metro Area","162,553"
".Boise City, ID Metro Area","845,877"
".Boston-Cambridge-Newton, MA-NH Metro Area","5,025,517"
"..Boston, MA Metro Division","2,075,988"
"..Cambridge-Newton-Framingham, MA Metro Division","2,492,894"
"..Rockingham County-Strafford County, NH Metro Division","456,635"
".Boulder, CO Metro Area","330,262"
".Bowling Green, KY Metro Area","195,159"
".Bozeman, MT Metro Area","126,984"
".Bremerton-Silverdale-Port Orchard, WA Metro Area","281,420"
".Bridgeport-Stamford-Danbury, CT Metro Area","972,679"
".Brownsville-Harlingen, TX Metro Area","431,874"
".Brunswick-St. Simons, GA Metro Area","117,135"
".Buffalo-Cheektowaga, NY Metro Area","1,160,172"
".Burlington, NC Metro Area","183,040"
".Burlington-South Burlington, VT Metro Area","229,445"
".Canton-Massillon, OH Metro Area","400,551"
".Cape Coral-Fort Myers, FL Metro Area","860,959"
".Cape Girardeau, MO-IL Metro Area","98,862"
".Carson City, NV Metro Area","58,148"
".Casper, WY Metro Area","80,410"
".Cedar Rapids, IA Metro Area","278,677"
".Chambersburg, PA Metro Area","159,285"
".Champaign-Urbana, IL Metro Area","242,453"
".Charleston, WV Metro Area","202,091"
".Charleston-North Charleston, SC Metro Area","869,940"
".Charlotte-Concord-Gastonia, NC-SC Metro Area","2,883,370"
".Charlottesville, VA Metro Area","227,336"
".Chattanooga, TN-GA Metro Area","588,050"
".Cheyenne, WY Metro Area","101,783"
".Chicago-Naperville-Elgin, IL-IN Metro Area","9,408,576"
