org_name.nih,org_city.nih,org_state.nih,lat.nih,lon.nih,org_name.nsf,org_city.nsf,org_state.nsf,lat.nsf,lon.nsf,org_name,org_city,org_state,lat,lon
NA,NA,NA,NA,NA,Children's Museum of Pittsburgh,Pittsburgh,PA,40.45284,-80.00642,Children's Museum of Pittsburgh,Pittsburgh,PA,40.45284,-80.00642
Children's Research Institute,Washington,DC,38.92727,-77.0144,NA,NA,NA,NA,NA,Children's Research Institute,Washington,DC,38.92727,-77.0144
NA,NA,NA,NA,NA,Christopher Newport University,Newport News,VA,37.06253,-76.49431,Christopher Newport University,Newport News,VA,37.06253,-76.49431
Cincinnati Children's Hospital Medical Center,Cincinnati,OH,39.14066,-84.50101,NA,NA,NA,NA,NA,Cincinnati Children's Hospital Medical Center,Cincinnati,OH,39.14066,-84.50101
City College of New York,New York,NY,40.81941,-73.95017,NA,NA,NA,NA,NA,City College of New York,New York,NY,40.81941,-73.95017
NA,NA,NA,NA,NA,City College of San Francisco,San Francisco,CA,37.72592,-122.44849,City College of San Francisco,San Francisco,CA,37.72592,-122.44849
NA,NA,NA,NA,NA,City Colleges of Chicago Harry S Truman College,Chicago,IL,41.96355,-87.65796,City Colleges of Chicago Harry S Truman College,Chicago,IL,41.96355,-87.65796
Claflin University,Orangeburg,SC,33.49592,-80.85546,NA,NA,NA,NA,NA,Claflin University,Orangeburg,SC,33.49592,-80.85546
Claremont Graduate University,Claremont,CA,34.10328,-117.71447,Claremont Graduate University,Claremont,CA,34.10328,-117.71447,Claremont Graduate University,Claremont,CA,34.10328,-117.71447
Clark Atlanta University,Atlanta,GA,33.74773,-84.41301,Clark atlanta University,Atlanta,GA,33.74773,-84.41301,Clark Atlanta University,Atlanta,GA,33.74773,-84.41301
NA,NA,NA,NA,NA,Claudius Legal Intelligence Inc.,Miami,FL,25.72945,-80.30635,Claudius Legal Intelligence Inc.,Miami,FL,25.72945,-80.30635
Clemson University,Clemson,SC,34.67315,-82.82396,Clemson University,Clemson,SC,34.67315,-82.82396,Clemson University,Clemson,SC,34.67315,-82.82396
Cleveland Clinic Lerner College of Medicine - Case Western Reserve University,Cleveland,OH,41.50266,-81.62213,NA,NA,NA,NA,NA,Cleveland Clinic Lerner College of Medicine - Case Western Reserve University,Cleveland,OH,41.50266,-81.62213
NA,NA,NA,NA,NA,Cleveland State University,Cleveland,OH,41.50276,-81.67442,Cleveland State University,Cleveland,OH,41.50276,-81.67442
NA,NA,NA,NA,NA,Coastal and Estuarine Research Federation,Seattle,WA,47.70744,-122.33171,Coastal and Estuarine Research Federation,Seattle,WA,47.70744,-122.33171
NA,NA,NA,NA,NA,Coeur D' Alene Tribe,Plummer,ID,47.33766,-116.88673,Coeur D' Alene Tribe,Plummer,ID,47.33766,-116.88673
Cold Spring Harbor Laboratory,Cold Spring Harbor,NY,40.86755,-73.47346,NA,NA,NA,NA,NA,Cold Spring Harbor Laboratory,Cold Spring Harbor,NY,40.86755,-73.47346
NA,NA,NA,NA,NA,College of William and Mary,Williamsburg,VA,37.28078,-76.72405,College of William and Mary,Williamsburg,VA,37.28078,-76.72405
Colliga Apps Corp.,Austin,TX,25.76305,-80.19045,NA,NA,NA,NA,NA,Colliga Apps Corp.,Austin,TX,25.76305,-80.19045
Colorado School of Mines,Golden,CO,39.75113,-105.22231,Colorado School of Mines,Golden,CO,39.75113,-105.22231,Colorado School of Mines,Golden,CO,39.75113,-105.22231
Colorado State University,Fort Collins,CO,40.57951,-105.08127,Colorado State University,Fort Collins,CO,40.57951,-105.08127,Colorado State University,Fort Collins,CO,40.57951,-105.08127
NA,NA,NA,NA,NA,Colorado State University-Pueblo,Pueblo,CO,38.31162,-104.57813,Colorado State University-Pueblo,Pueblo,CO,38.31162,-104.57813
Columbia University,New York,NY,40.8101,-73.9606,Columbia University,New York,NY,40.81207,-73.95438,Columbia University,New York,NY,40.81207,-73.95438
Columbia University,New York,NY,40.81207,-73.95438,Columbia University,New York,NY,40.81207,-73.95438,Columbia University,New York,NY,40.81207,-73.95438
Columbia University,New York,NY,40.8415,-73.9414,Columbia University,New York,NY,40.81207,-73.95438,Columbia University,New York,NY,40.81207,-73.95438
NA,NA,NA,NA,NA,"Teachers College, Columbia University",New York,NY,40.80999,-73.96005,Columbia University,New York,NY,40.81207,-73.95438
NA,NA,NA,NA,NA,Columbus State Community College,Columbus,OH,39.96943,-82.98683,Columbus State Community College,Columbus,OH,39.96943,-82.98683
NA,NA,NA,NA,NA,Columbus State University,Columbus,GA,32.4989,-84.9445,Columbus State University,Columbus,GA,32.4989,-84.9445
NA,NA,NA,NA,NA,Concord Consortium,Concord,MA,42.45661,-71.35818,Concord Consortium,Concord,MA,42.45661,-71.35818
Cornell University,Ithaca,NY,42.438,-76.4625,Cornell University,Ithaca,NY,42.438,-76.4625,Cornell University,Ithaca,NY,42.438,-76.4625
