GEOID,name_geoid,lat,lon
0650,Congressional District 50,32.86531,-117.22322
0650,Congressional District 50,32.71877,-117.12866
0650,Congressional District 50,32.8577,-117.22079
0650,Congressional District 50,32.92638,-117.23743
0650,Congressional District 50,33.0305,-117.111
0650,Congressional District 50,32.83878,-117.25324
0650,Congressional District 50,32.96187,-117.23266
0650,Congressional District 50,32.87431,-117.21564
0650,Congressional District 50,32.87576,-117.23954
0650,Congressional District 50,32.87175,-117.23195
0650,Congressional District 50,32.75976,-117.144
0650,Congressional District 50,32.95154,-117.22272
0650,Congressional District 50,32.96581,-117.16518
0650,Congressional District 50,32.98709,-117.21389
0650,Congressional District 50,32.9199,-117.22663
0650,Congressional District 50,32.933839999999996,-117.20891
0650,Congressional District 50,32.86277,-117.23381
0650,Congressional District 50,32.86179,-117.2234
0650,Congressional District 50,32.90439,-117.24315
0650,Congressional District 50,32.85472,-117.20922
0650,Congressional District 50,32.85406,-117.23773
0650,Congressional District 50,32.93833,-117.23442
0650,Congressional District 50,32.87365,-117.20516
0650,Congressional District 50,32.87819,-117.20269
0650,Congressional District 50,32.96035,-117.13737
0650,Congressional District 50,32.80392,-117.21501
0650,Congressional District 50,32.84124,-117.26799
0650,Congressional District 50,33.00632,-117.09038
0650,Congressional District 50,32.96075,-117.22887
0650,Congressional District 50,32.86772,-117.21492
0650,Congressional District 50,32.87186,-117.21608
0650,Congressional District 50,32.88293,-117.24796
0650,Congressional District 50,32.84227,-117.22161
0650,Congressional District 50,32.71808,-117.1579
0647,Congressional District 47,33.68447,-117.80898
0647,Congressional District 47,33.65797,-117.86494
0647,Congressional District 47,33.59133,-117.86067
0647,Congressional District 47,33.64852,-117.82136
0647,Congressional District 47,33.63564,-117.84082
0647,Congressional District 47,33.64051,-117.85611
0647,Congressional District 47,33.59554,-117.87387
0647,Congressional District 47,33.63775,-117.83306
0647,Congressional District 47,33.68588,-117.73842
0647,Congressional District 47,33.61065,-117.83608
0647,Congressional District 47,33.6417,-117.83821
0647,Congressional District 47,33.66125,-117.70808
0647,Congressional District 47,33.65073,-117.82951
0647,Congressional District 47,33.64851,-117.83868
0647,Congressional District 47,33.63616,-117.71876
0647,Congressional District 47,33.63803,-117.83227
0647,Congressional District 47,33.63924,-117.83149
0647,Congressional District 47,33.63814,-117.84905
0647,Congressional District 47,33.62098,-117.93211
0647,Congressional District 47,33.59537,-117.81226
0647,Congressional District 47,33.71536,-118.03977
0647,Congressional District 47,33.60817,-117.83086
0647,Congressional District 47,33.64187,-117.85099
0647,Congressional District 47,33.66363,-117.75784
0647,Congressional District 47,33.6625,-117.75436
0636,Congressional District 36,33.98166,-118.39554
0636,Congressional District 36,33.81022,-118.33004
0636,Congressional District 36,34.0702,-118.45102
0636,Congressional District 36,34.06074,-118.44418
0636,Congressional District 36,33.7458,-118.33105
0636,Congressional District 36,34.02055,-118.42347
0636,Congressional District 36,34.0376,-118.44187
0636,Congressional District 36,34.04784,-118.43964
0636,Congressional District 36,34.01976,-118.4553
0636,Congressional District 36,33.87403,-118.39357
0636,Congressional District 36,34.00424,-118.47964
0636,Congressional District 36,33.79393,-118.36069
0636,Congressional District 36,34.01988,-118.49867
0636,Congressional District 36,34.01009,-118.48193
0636,Congressional District 36,34.0388,-118.44204
0636,Congressional District 36,34.0381,-118.47548
0636,Congressional District 36,34.03666,-118.49909
0636,Congressional District 36,34.03002,-118.47821
0631,Congressional District 31,34.12864,-117.92843
0631,Congressional District 31,34.1224,-117.98687
0631,Congressional District 31,34.09971,-117.77294
1198,Delegate District (at Large),38.9098,-77.08886
1198,Delegate District (at Large),38.89813,-77.03288
1198,Delegate District (at Large),38.90935,-77.03758
1198,Delegate District (at Large),38.89297,-77.04764
1198,Delegate District (at Large),38.92269,-77.04248
1198,Delegate District (at Large),38.89686,-77.00997
1198,Delegate District (at Large),38.91203,-77.03069
1198,Delegate District (at Large),38.90332,-77.03934
1198,Delegate District (at Large),38.90131,-77.00897
1198,Delegate District (at Large),38.90534,-77.03876
1198,Delegate District (at Large),38.92928,-77.01025
1198,Delegate District (at Large),38.90539,-77.03099
1198,Delegate District (at Large),38.92727,-77.0144
1198,Delegate District (at Large),38.94022,-77.01816
1198,Delegate District (at Large),38.90406,-77.03889
1198,Delegate District (at Large),38.89951,-77.03326
1198,Delegate District (at Large),38.93109,-77.0109
1198,Delegate District (at Large),38.90581,-77.04765
1198,Delegate District (at Large),38.89602,-77.04535
1198,Delegate District (at Large),38.92767,-77.05676
1198,Delegate District (at Large),38.93054,-77.06611
1198,Delegate District (at Large),38.92318,-77.05082
1198,Delegate District (at Large),38.90704,-77.04046
1198,Delegate District (at Large),38.9742,-77.02583
1198,Delegate District (at Large),38.90402,-77.04565
1198,Delegate District (at Large),38.90467,-77.03158
1198,Delegate District (at Large),38.92769,-77.01375
1198,Delegate District (at Large),38.9149,-77.0274
1198,Delegate District (at Large),38.90487,-77.04701
1198,Delegate District (at Large),38.95088,-77.01694
1198,Delegate District (at Large),38.88152,-76.99666
1198,Delegate District (at Large),38.89648,-77.04955
1198,Delegate District (at Large),38.96153,-77.06981
1198,Delegate District (at Large),38.90442,-77.04296
1198,Delegate District (at Large),38.909,-77.04275
1198,Delegate District (at Large),38.92882,-77.06615
1198,Delegate District (at Large),38.8984,-76.98223
1198,Delegate District (at Large),38.90168,-77.02754
1198,Delegate District (at Large),38.90105,-77.01773
1198,Delegate District (at Large),38.90999,-77.04556
0616,Congressional District 16,37.41246,-122.15813
0616,Congressional District 16,37.44036,-122.14245
0616,Congressional District 16,37.41842,-122.14806
0616,Congressional District 16,37.39918,-122.11163
0616,Congressional District 16,37.41959,-122.08819
0616,Congressional District 16,37.45397,-122.15519
0616,Congressional District 16,37.45914,-122.19418
0616,Congressional District 16,37.42288,-122.1377
0616,Congressional District 16,37.44075,-122.15934
0616,Congressional District 16,37.41897,-122.07717
0616,Congressional District 16,37.38716,-122.06452
0616,Congressional District 16,37.41753,-122.14526
0616,Congressional District 16,37.41448,-122.14004
0616,Congressional District 16,37.41346,-122.11845
0616,Congressional District 16,37.38985,-122.0583
0616,Congressional District 16,37.42016,-122.14906
0616,Congressional District 16,37.39123,-122.05943
0616,Congressional District 16,37.44827,-122.15692
0616,Congressional District 16,37.46059,-122.19225
0616,Congressional District 16,37.45196,-122.16147
0616,Congressional District 16,37.39658,-122.04666
0616,Congressional District 16,37.3962,-122.04667
0616,Congressional District 16,37.42095,-122.10353
0616,Congressional District 16,37.40088,-122.13832
0616,Congressional District 16,37.41603,-122.16174
