tractid,inst_street_address,org_name,lat,lon
06037980025,1007 E DOMINGUEZ ST STE B,SEAFLIGHT TECHNOLOGIES INC,33.84081,-118.25691
06037570701,5402 COKE AVE,VRIENDS CORP,33.85493,-118.14672
06037297300,1536 W 25TH ST,SCORPIDO PHOTONICS,33.72244,-118.31172
06037980015,1111 FIGUEROA PL,Los Angeles Harbor College,33.7841,-118.28409
06073020706,3561 PRINCE ST,"PHENOTARGET BIOSCIENCES, INC.",33.07706,-117.05115
06073008312,8622 DISCOVERY WAY # 116,University of California-San Diego Scripps Inst of Oceanography,32.86912,-117.24891
06073008305,9500 GILMAN DR,University of California-San Diego,32.88307,-117.23383
06073008312,10010 N TORREY PINES RD,The Salk Institute for Biological Studies,32.88653,-117.24426
06073008312,10550 N TORREY PINES RD,The Scripps Research Institute,32.89615,-117.24189
06073008305,,"Romero, Marino",32.88436,-117.23381
06073008305,,"McAdam, Taylor Jane",32.88436,-117.23381
06073008305,,"Kwan, Garfield Tsz",32.88,-117.24
06073008101,7172 EADS AVE,"BRILLIANTMD, LLC",32.83587,-117.27394
06073008312,4120 CAPRICORN LN,"J. Craig Venter Institute, Inc.",32.86911,-117.24304
06073008305,,"Frederiksen, Anne Therese",32.88,-117.24
06073008311,,"Matty, Molly A",32.82833,-117.25585
06073008311,,"Portner, Elan",32.82833,-117.25585
06073008378,4250 EXECUTIVE SQ STE 675,SUPERMEM INC.,32.87458,-117.21498
06073008305,,"Pillai, Mohandas",32.88436,-117.23381
06073008311,,"Alves, Michael R",32.82833,-117.25585
06073008311,,"Spiro, Sam",32.82833,-117.25585
06073008305,,"Amemiya, Jamie",32.88436,-117.23381
06073008305,,"Tapanes, Elizabeth",32.88436,-117.23381
06073008305,9500 GILMAN DR RM 2601,WOLFZYC LLC,32.88307,-117.23383
06073008305,,"Schneider, Ryan",32.88436,-117.23381
06073008305,,"Brockbank, Erik",32.88436,-117.23381
06073008311,,"Cagan, David Abraham",32.82833,-117.25585
06073008305,,"Palos, Etienne I",32.88436,-117.23381
06073008311,,"Moses, David",32.82833,-117.25585
06073008339,3550 GENERAL ATOMICS CT STE G02-102,TEGA Therapeutics Inc,32.89415,-117.23408
06073001301,3957 30TH ST UNIT 406,INFOCUS NETWORKS,32.74962,-117.12979
06073008339,3210 MERRYFIELD ROW,Cybele Microbiome Inc,32.90066,-117.23553
06073005602,1788 EL PRADO,San Diego Society of Natural History,32.73208,-117.14734
06073008339,11760 SORRENTO VALLEY RD STE J,ALGENESIS CORPORATION,32.91421,-117.23523
06073017071,16132 CAYENNE CREEK RD,Axalume Inc.,33.00471,-117.10656
06073008344,,"Minich, Jeremiah",32.85638,-117.20294
06073007800,3030 BUNKER HILL ST STE 104,Tempo Therapeutics,32.80371,-117.21529
06073008339,10459 ROSELLE ST,"General Engineering & Research, L.L.C.",32.89535,-117.21955
06073000600,1223 CLEVELAND AVE,LEARN2EARN CORPORATION,32.74905,-117.15278
06073017071,15970 BERNARDO CENTER DR,Electronic Bio Sciences,33.0079,-117.09013
06073008339,10210 CAMPUS POINT DR,BIOSAPIEN INC.,32.88859,-117.22302
06073008305,,"Adam, Kirsten",32.88436,-117.23381
06073008344,,"Eshun-Wilson, Lisa",32.85638,-117.20294
06073008311,,"Tellez, Krissie",32.82833,-117.25585
06073006802,2654 WORDEN ST UNIT 102,GODWIT KEY COMPANY,32.74811,-117.22683
06073006900,3212 JAMES ST,"SUBSEASAIL, INC",32.74464,-117.21563
06073017071,16855 W BERNARDO DR STE 100,VENCE CORP,33.01815,-117.08025
06073021502,6640 VIA MADERA,UNIGRID LLC,32.97011,-117.17788
06073008370,12559 EL CAMINO REAL UNIT B,TYFAST ENERGY CORP.,32.9458,-117.23463
06073005700,770 1ST AVE UNIT 2045,"CANETIA ANALYTICS, INC.",32.72697,-117.16471
06073005602,2920 ZOO DR,Zoological Society of San Diego,32.73374,-117.14828
06073021502,5965 VILLAGE WAY STE E105,"Pensievision, Inc.",32.96148,-117.18967
06073007100,2240 SHELTER ISLAND DR STE 200,National Marine Mammal Foundation,32.71938,-117.2212
06073021502,6640 VIA MADERA,UNIGRID INC.,32.97011,-117.17788
06073008344,,"Vigdorovich, Itamar Daniel",32.85638,-117.20294
06073007502,1889 BACON ST STE 11,PERCEPT BIOSCIENCES INC.,32.7466,-117.25113
06073005602,1875 EL PRADO,Reuben H. Fleet Science Center,32.73086,-117.14697
06073008375,5370 TOSCANA WAY H208,"BRAINSTORM THERAPEUTICS, INC.",32.87062,-117.20145
06073008373,3570 CARMEL MOUNTAIN RD,OM THERAPEUTICS INC.,32.91949,-117.23308
06073005102,1155 ISLAND AVE STE 100,"BEKEN BIO, INC.",32.71015,-117.15416
06073021401,2305 HISTORIC DECATUR RD STE 100,STEM NEXT OPPORTUNITY FUND,32.73424,-117.21647
06073007912,857 MISSOURI ST # 1/4,"BEESAFE LABS, LLC",32.80432,-117.23701
06073008376,7190 CALABRIA CT UNIT B,NOVATECH INNOVATIONS LLC,32.86456,-117.20359
06073008305,,"Schulberg, Sara",32.88436,-117.23381
06073008344,,"Skoog, Emilie",32.85638,-117.20294
06073020310,333 S TWIN OAKS VALLEY RD,California State University San Marcos Corporation,33.13135,-117.15812
06073020021,1140 W MISSION RD,Palomar College,33.15125,-117.18219
06037900504,176 HOLSTON DR,ANTELOPE VALLEY UNION HIGH SCHOOL DISTRICT,34.66439,-118.12863
06037901013,3041 W AVENUE K,Antelope Valley College,34.67732,-118.18665
06037920330,26455 ROCKWELL CANYON RD,College of the Canyons,34.40397,-118.56867
06019008100,275 PHELPS AVE,West Hills Community College,36.15328,-120.35115
06047001801,5200 N LAKE RD,University of California - Merced,37.36564,-120.43184
06047002500,,"Boria, Robert A",37.42837,-120.49336
06047001007,3600 M ST,Merced College,37.33368,-120.47302
06029002806,9001 Stockdale Hwy,CSUB Auxiliary for Sponsored Programs Administration,35.34879,-119.10273
06019005304,4910 N CHESTNUT AVE,California State University-Fresno Foundation,36.80696,-119.73594
06019005408,2911 E BARSTOW AVE M/S 144,Drought Diet Products,36.81558,-119.73677
06029005900,1570 SABOVICH ST,"Masten Space Systems, Inc.",35.05501,-118.15982
06027000400,,"Borgias, Sophia L",37.36139,-118.39524
06057000802,118 NURSERY ST,"SAMA LEARNING, INC.",39.26481,-121.01332
06057000802,117 NEW MOHAWK RD STE H,Sierra Streams Institute,39.24855,-121.01673
06063000100,570 GOLDEN EAGLE AVE,FEATHER RIVER COMMUNITY COLLEGE DISTRICT,39.95215,-120.96433
06057001205,13100 FILLY LN B,WestFace Medical Device,39.37426,-120.09142
06057001211,11050 PIONEER TRL,"Conservation Science Partners, Inc.",39.33635,-120.18221
06077001200,3601 PACIFIC AVE,University of the Pacific,37.98106,-121.3092
06077003111,5151 PACIFIC AVE,San Joaquin Delta College,37.99521,-121.31842
06077005214,20654 ALDER AVE,"OPTICALX, LLC",37.77346,-121.36168
06007001000,25 MAIN ST UNIT 203,Chico State Enterprises,39.73179,-121.84154
06007001000,341 BROADWAY ST STE 204,Tangible Research Inc.,39.72865,-121.83968
06093001003,310 N MOUNT SHASTA BLVD,"TERRAINWORKS, INC.",41.31371,-122.31264
06007002200,3536 BUTTE CAMPUS DR,Butte-Glenn Community College District,39.64853,-121.64494
06101050402,1777 DEL LAGO,"NEXT-ION ENERGY, INC.",39.10137,-121.62468
06095252000,823 W K ST,"KAPHA BIO, INC.",38.05991,-122.17092
06013356002,,"Hall, Zack B",37.90206,-122.25972
06013356002,,"Westeen, Erin",37.90206,-122.25972
06013386000,,"Wrensford, Kwasi C",37.91613,-122.31076
