FIPS,name,state,account_name,raw_funding,econ_impact,jobs
06005,Amador County,CA,CSE,92001.1549688958,242883.04911788495,1.2777938190124418
06005,Amador County,CA,EDU,127275.61302810004,336007.6183941841,1.7677168476125005
06005,Amador County,CA,ENG,68735.74977868676,181462.37941573307,0.9546631913706495
06005,Amador County,CA,GEO,83394.63556984735,220161.83790439702,1.1582588273589909
06005,Amador County,CA,MPS,109322.52617904262,288611.4691126725,1.5183684191533697
06005,Amador County,CA,OIA,15382.003060550058,40608.488079852155,0.2136389313965286
06005,Amador County,CA,OISE,4160.848781954398,10984.640784359612,0.057789566416033306
06005,Amador County,CA,OPP,23378.862169294356,61720.1961269371,0.32470641901797714
06005,Amador County,CA,SBE,28286.91691557077,74677.46065710684,0.392873846049594
06005,Amador County,CA,TIP,82780.91336029906,218541.61127118953,1.1497349077819314
06007,Butte County,CA,BIO,195300.07788496377,515592.20561630436,2.712501081735608
06007,Butte County,CA,CSE,106903.41203796153,282225.00778021844,1.4847696116383546
06007,Butte County,CA,EDU,701798.9946973285,1852749.3460009475,9.747208259685118
06007,Butte County,CA,ENG,54857.62410899709,144824.12764775232,0.761911445958293
06007,Butte County,CA,GEO,368115.51534830785,971824.9605195328,5.1127154909487205
06007,Butte County,CA,MPS,198822.6716535026,524891.8531652469,2.761425995187536
06007,Butte County,CA,OIA,18275.04863902021,48246.128407013355,0.2538201199863918
06007,Butte County,CA,OISE,21031.203487167422,55522.377206122,0.29210004843288084
06007,Butte County,CA,OPP,33892.97120258538,89477.44397482541,0.4707357111470192
06007,Butte County,CA,SBE,19849.16231959396,52401.78852372806,0.27568280999436057
06007,Butte County,CA,TIP,197917.94523448608,522503.3754190433,2.7488603504789735
06009,Calaveras County,CA,BIO,66762.29653697347,176252.46285761,0.927254118569076
06009,Calaveras County,CA,CSE,47196.06755273282,124597.61833921465,0.6555009382324003
06009,Calaveras County,CA,EDU,74069.75484282151,195544.1527850488,1.0287465950391876
06009,Calaveras County,CA,ENG,37463.94374255955,98904.81148035722,0.5203325519799938
06009,Calaveras County,CA,GEO,45644.82796503521,120502.34582769296,0.6339559439588224
06009,Calaveras County,CA,MPS,77749.81230665618,205259.50448957234,1.0798585042591136
06009,Calaveras County,CA,OIA,10692.32914177151,28227.748934276788,0.14850457141349319
06009,Calaveras County,CA,OISE,2874.6968899205763,7589.199789390322,0.03992634569334134
06009,Calaveras County,CA,OPP,12353.835480003236,32614.125667208544,0.17158104833337828
06009,Calaveras County,CA,SBE,13259.7299929412,35005.68718136477,0.1841629165686278
06009,Calaveras County,CA,TIP,88291.97031260251,233090.80162527063,1.2262773654528127
06011,Colusa County,CA,BIO,45607.206926039406,120403.02628474403,0.633433429528325
06011,Colusa County,CA,CSE,25244.631761775665,66645.82785108776,0.35061988558021756
