state,account_name,raw_funding,econ_impact,jobs
NH,OPP,10307750.983287416,27212462.59587878,143.16320810121414
NH,SBE,1997436.7332146382,5273232.975686645,27.742176850203307
NH,TIP,3279187.4541667933,8657054.879000334,45.54427019676102
NJ,BIO,19874241.615230627,52467997.86420887,276.0311335448699
NJ,CSE,34806831.54604684,91890035.28156364,483.4282159173172
NJ,EDU,28154964.738168668,74329106.90876527,391.04117691900916
NJ,ENG,25075679.321606867,66199793.409042135,348.27332391120655
NJ,GEO,22014862.16891711,58119236.125941165,305.7619745682931
NJ,MPS,53044223.5336467,140036750.1288273,736.7253268562042
NJ,OIA,2527177.1069374275,6671747.562314809,35.0996820407976
NJ,OISE,984377.695648039,2598757.116510823,13.671912439556099
NJ,OPP,9319628.976694876,24603820.49847447,129.4392913429844
NJ,SBE,8287482.638699502,21878954.16616669,115.1039255374931
NJ,TIP,19777849.03737025,52213521.458657466,274.6923477412535
NM,BIO,9229707.07433212,24366426.676236797,128.19037603239056
NM,CSE,5157934.297656132,13616946.545812186,71.63797635633516
NM,EDU,15263481.01318421,40295589.874806315,211.9927918497807
NM,ENG,7692807.855958163,20309012.73972955,106.84455355497448
NM,GEO,6406596.954545864,16913415.96000108,88.98051325758145
NM,MPS,7798405.871424351,20587791.500560287,108.31119265867154
NM,OIA,14542982.956015345,38393475.003880516,201.98587438910204
NM,OISE,386720.01984277414,1020940.8523849237,5.371111386705197
NM,OPP,928985.0962537399,2452520.6541098733,12.902570781301943
NM,SBE,2110240.907636589,5571035.996160596,29.308901494952625
NM,TIP,3444397.8583793114,9093210.346121382,47.8388591441571
NV,BIO,5686536.084846802,15012455.263995558,78.97966784509447
NV,CSE,3743198.3487789463,9882043.64077642,51.98886595526315
NV,EDU,5846369.6417288305,15434415.85416411,81.19957835734486
NV,ENG,6007375.239845125,15859470.633191131,83.43576722007118
NV,GEO,4818252.087550969,12720185.511134557,66.92016788265235
NV,MPS,4799950.156234243,12671868.412458403,66.66597439214226
NV,OIA,10259893.909947058,27086119.922260236,142.49852652704246
NV,OISE,211154.41581239927,557447.6577447341,2.932700219616656
NV,OPP,2473575.5789170666,6530239.528341056,34.35521637384815
NV,SBE,1008205.6510406078,2661662.918747205,14.002856264452888
NV,TIP,1441344.5013422363,3805149.483543504,20.018673629753284
NY,BIO,63095062.63764496,166570965.3633827,876.3203144117356
NY,CSE,78121882.47259083,206241769.72763982,1085.02614545265
