"CBSA_FIPS","CBSA_NAME","state_name","state","budg_NIH_cuts","econ_budg_NIH_cuts","jobs_budg_NIH_cuts"
"30069","Petroleum County, MT","Montana","MT",644.410656881238,1701.34662492701,0.00592857804330739
"30071","Phillips County, MT","Montana","MT",4615.72862989211,12186.2576948245,0.0424647033950074
"30073","Pondera County, MT","Montana","MT",10749.423736998,28380.1883155732,0.0988946983803815
"30075","Powder River County, MT","Montana","MT",417.175293237743,1101.40912409488,0.00383801269778724
"30077","Powell County, MT","Montana","MT",34064.5936019441,89935.9449371406,0.313394261137885
"30079","Prairie County, MT","Montana","MT",285.801827175835,754.562279303198,0.00262937681001768
"30081","Ravalli County, MT","Montana","MT",259700.637839205,685650.988171896,2.38924586812068
"30083","Richland County, MT","Montana","MT",9068.29577847326,23941.7431288519,0.083428321161954
"30085","Roosevelt County, MT","Montana","MT",9109.19610433559,24049.7264941504,0.0838046041598874
"30087","Rosebud County, MT","Montana","MT",9736.52528402898,25705.9753025656,0.0895760326130666
"30089","Sanders County, MT","Montana","MT",4019.48229118065,10612.0725301946,0.036979237078862
"30091","Sheridan County, MT","Montana","MT",7073.73805392141,18675.7935101543,0.065078390096077
"15580","Silver Bow County, MT","Montana","MT",197384.022734577,521125.213104409,1.81593300915811
"13740","Stillwater County, MT","Montana","MT",9916.89081125237,26182.1689808015,0.0912353954635218
"30097","Sweet Grass County, MT","Montana","MT",386.835255995605,1021.30660032239,0.00355888435515956
"30099","Teton County, MT","Montana","MT",9933.09713909547,26224.9562638544,0.0913844936796783
"30101","Toole County, MT","Montana","MT",2978.06736971578,7862.5715049355,0.0273982198013852
"30103","Treasure County, MT","Montana","MT",131.994056693383,348.48530276106,0.00121434532157913
"30105","Valley County, MT","Montana","MT",17498.9939560322,46200.1271841168,0.160990744395496
"30107","Wheatland County, MT","Montana","MT",1868.50423334356,4933.14835363866,0.0171902389467607
"30109","Wibaux County, MT","Montana","MT",14.2512575910578,37.6255866419975,0.000131111569837732
"13740","Yellowstone County, MT","Montana","MT",344578.447715188,909741.905697356,3.17012171897973
"25580","Adams County, NE","Nebraska","NE",78585.3215636796,203351.371484156,0.722984958385852
"31003","Antelope County, NE","Nebraska","NE",4103.01892688797,10617.1802749706,0.0377477741273694
"31005","Arthur County, NE","Nebraska","NE",76.4743197211252,197.888835843309,0.000703563741434352
"42420","Banner County, NE","Nebraska","NE",16.3738813354033,42.3698874016184,0.00015063970828571
"31009","Blaine County, NE","Nebraska","NE",1614.98100549414,4179.00691698484,0.0148578252505461
"31011","Boone County, NE","Nebraska","NE",4266.82962608274,11041.0651644412,0.0392548325599612
"31013","Box Butte County, NE","Nebraska","NE",3654.78721289154,9457.3131144092,0.0336240423586022
"31015","Boyd County, NE","Nebraska","NE",32.5869306070911,84.3235975822955,0.000299799761585239
"31017","Brown County, NE","Nebraska","NE",56.9341658840987,147.325740818612,0.000523794326133708
"28260","Buffalo County, NE","Nebraska","NE",126645.889569332,327715.339510139,1.16514218403786
"31021","Burt County, NE","Nebraska","NE",246477.169286274,637796.848273779,2.26758995743372
"31023","Butler County, NE","Nebraska","NE",8132.99436934486,21045.3495178363,0.0748235481979727
"36540","Cass County, NE","Nebraska","NE",366951.438429442,949542.189150991,3.37595323355087
"31027","Cedar County, NE","Nebraska","NE",53775.7517021004,139152.867782724,0.494736915659324
"31029","Chase County, NE","Nebraska","NE",557.242458637411,1441.94890290419,0.00512663061946418
"31031","Cherry County, NE","Nebraska","NE",306.262759730456,792.501080182571,0.00281761738952019
"31033","Cheyenne County, NE","Nebraska","NE",72751.6472476474,188255.859378937,0.669315154678356
"25580","Clay County, NE","Nebraska","NE",11565.0326932837,29926.2662879435,0.10639830077821
"18100","Colfax County, NE","Nebraska","NE",7551.9282991172,19541.7534269562,0.0694777403518782
"31039","Cuming County, NE","Nebraska","NE",41003.7708724674,106103.441164667,0.3772346920267
"31041","Custer County, NE","Nebraska","NE",4793.40387126291,12403.6554397619,0.0440993156156187
"43580","Dakota County, NE","Nebraska","NE",12690.4003644853,32838.3248608328,0.116751683353265
