"FIPS","state_name","state","name","budg_NIH_cuts","econ_budg_NIH_cuts","jobs_budg_NIH_cuts"
"05057","Arkansas","AR","Hempstead County",26053.0236525602,73128.8964014675,0.22926660814253
"05059","Arkansas","AR","Hot Spring County",116641.976031469,327405.336709529,1.02644938907693
"05061","Arkansas","AR","Howard County",4634.51567934054,13008.7402331962,0.0407837379781968
"05063","Arkansas","AR","Independence County",38972.7018350573,109393.470523377,0.342959776148504
"05065","Arkansas","AR","Izard County",12543.4580934736,35208.5523610093,0.110382431222568
"05067","Arkansas","AR","Jackson County",31663.4802793052,88877.0301648912,0.278638626457885
"05069","Arkansas","AR","Jefferson County",420716.627796961,1180920.2301751,3.70230632461326
"05071","Arkansas","AR","Johnson County",41773.3817321281,117254.770339394,0.367605759242727
"05073","Arkansas","AR","Lafayette County",17701.5457445456,49686.9201119197,0.155773602552001
"05075","Arkansas","AR","Lawrence County",23386.3554033005,65643.7572967773,0.205799927549044
"05077","Arkansas","AR","Lee County",20681.1020455098,58050.3126670921,0.181993698000486
"05079","Arkansas","AR","Lincoln County",18946.0935643362,53180.2731213004,0.166725623366158
"05081","Arkansas","AR","Little River County",12929.2454867683,36291.4288322194,0.113777360283561
"05083","Arkansas","AR","Logan County",11776.0622073229,33054.5292807857,0.103629347424442
"05085","Arkansas","AR","Lonoke County",857499.688686717,2406937.74106712,7.54599726044311
"05087","Arkansas","AR","Madison County",10143.4396132611,28471.879292207,0.0892622685966973
"05089","Arkansas","AR","Marion County",19236.6258544223,53995.7756144592,0.169282307518916
"05091","Arkansas","AR","Miller County",39360.8197562004,110482.88861263,0.346375213854564
"05093","Arkansas","AR","Mississippi County",59377.7185842955,166668.832332624,0.5225239235418
"05095","Arkansas","AR","Monroe County",17558.5524074125,49285.5484678157,0.15451526118523
"05097","Arkansas","AR","Montgomery County",19156.9142298881,53772.0310230331,0.168580845223015
"05099","Arkansas","AR","Nevada County",5999.84179955745,16841.1089337001,0.0527986078361056
"05101","Arkansas","AR","Newton County",8157.55299684008,22897.643511592,0.0717864663721927
"05103","Arkansas","AR","Ouachita County",32140.3642810193,90215.608029094,0.28283520567297
"05105","Arkansas","AR","Perry County",23485.9364091394,65923.2737612255,0.206676240400427
"05107","Arkansas","AR","Phillips County",21161.5955322765,59399.0220869252,0.186222040684033
"05109","Arkansas","AR","Pike County",10283.3142857285,28864.4970769399,0.0904931657144106
"05111","Arkansas","AR","Poinsett County",55972.2920320031,157110.053709977,0.492556169881628
"05113","Arkansas","AR","Polk County",11236.187747373,31539.1418932033,0.0988784521768823
