"state","state_name","budg_CBET_cuts","budg_CHE_cuts","budg_NSF_cuts","econ_budg_CBET_cuts","econ_budg_CHE_cuts","econ_budg_NSF_cuts","jobs_budg_CBET_cuts","jobs_budg_CHE_cuts","jobs_budg_NSF_cuts"
"PA","Pennsylvania",15730142.5645743,9870000.64892766,25600143.213502,41527576.3704762,26056801.713169,67584378.0836452,218.474202285754,137.083342346218,355.557544631972
"PR","Puerto Rico",446705.871624236,191358.087079141,638063.958703377,1179303.50108798,505185.349888931,1684488.85097692,6.20424821700328,2.65775120943251,8.86199942643579
"RI","Rhode Island",1785181.35898707,1319571.92080553,3104753.2797926,4712878.78772588,3483669.87092659,8196548.65865246,24.7941855414871,18.3273877889656,43.1215733304528
"SC","South Carolina",2436831.51909015,2666179.84885635,5103011.3679465,6433235.210398,7038714.80098076,13471950.0113788,33.8448822095854,37.0302756785604,70.8751578881458
"SD","South Dakota",820783.393747315,201298.951776777,1022082.34552409,2166868.15949291,531429.232690692,2698297.3921836,11.3997693576016,2.79581877467746,14.1955881322791
"TN","Tennessee",3821015.39172108,2251091.55219573,6072106.94391681,10087480.6341437,5942881.69779672,16030362.3319404,53.0696582183484,31.2651604471629,84.3348186655112
"TX","Texas",15883273.0802073,13989954.7642961,29873227.8445034,41931840.9317473,36933480.5777417,78865321.509489,220.601015002879,194.30492728189,414.90594228477
"UT","Utah",2353830.11357142,6257673.45776907,8611503.57134049,6214111.49982854,16520257.9285103,22734369.4283389,32.6920849107141,86.9121313579038,119.604216268618
"VA","Virginia",7821819.57464246,6575610.7296623,14397430.3043048,20649603.6770561,17359612.3263085,38009216.0033646,108.636382981145,91.3279268008653,199.964309782011
"VT","Vermont",544585.266920499,654473.613233484,1199058.88015398,1437705.10467012,1727810.3389364,3165515.44360652,7.56368426278471,9.0899112949095,16.6535955576942
