"CBSA_FIPS","CBSA_NAME","state_name","state","raw_funding","econ_impact","jobs"
"12060","Fulton County, GA","Georgia","GA",144900899.446894,424964317.219426,1704.72756020267
"12060","Gwinnett County, GA","Georgia","GA",80891912.3941909,237048326.428593,950.932067004932
"12060","Haralson County, GA","Georgia","GA",234601.277269703,681821.230026911,2.71521898002484
"12060","Heard County, GA","Georgia","GA",289737.274387871,845676.801513593,3.38431955049455
"12060","Henry County, GA","Georgia","GA",16670649.2910439,48934916.8337525,196.51380707388
"12060","Jasper County, GA","Georgia","GA",159197.142712132,467215.095690472,1.87319485751503
"12060","Lumpkin County, GA","Georgia","GA",145588.835342651,425622.1149489,1.70370847992391
"12060","Meriwether County, GA","Georgia","GA",281636.255387138,792098.364805956,3.12847966628939
"12060","Morgan County, GA","Georgia","GA",1815336.21544037,5319748.59317581,21.3272518893912
"12060","Newton County, GA","Georgia","GA",9294759.57947174,27272263.2760074,109.468964842721
"12060","Paulding County, GA","Georgia","GA",4013635.22164329,11776095.2526271,47.2179429769165
"12060","Pickens County, GA","Georgia","GA",921588.352333204,2701937.44686451,10.8312574194653
"12060","Pike County, GA","Georgia","GA",311391.08297558,913791.187012971,3.66750626936555
"12060","Rockdale County, GA","Georgia","GA",8565366.80455084,25116524.2368782,100.753055888496
"12060","Spalding County, GA","Georgia","GA",1505456.32459085,4424082.40884327,17.734523340169
"12060","Walton County, GA","Georgia","GA",3244683.46504426,9507826.98384076,38.0440028432296
"12063","Jackson County, FL","Florida","FL",295965.323214039,917341.053651304,3.21390399092159
"12067","Lafayette County, FL","Florida","FL",272284.49164697,874588.712249208,3.04950580035275
"12077","Liberty County, FL","Florida","FL",120092.850675374,385486.098374603,1.34430340641442
"12079","Madison County, FL","Florida","FL",315132.986395577,974597.249010064,3.42175329931443
"12100","Atlantic County, NJ","New Jersey","NJ",7706328.48095706,20701562.8915258,64.341233956298
"12100","Cape May County, NJ","New Jersey","NJ",2658892.10876646,6788861.41005374,21.7063310998141
"12121","Suwannee County, FL","Florida","FL",1970124.54811127,6319937.63829851,22.0677992094794
"12123","Taylor County, FL","Florida","FL",125499.877634369,401506.233886567,1.40762677307476
"12125","Union County, FL","Florida","FL",3128642.93091259,10043982.4237387,35.0525785008254
"12140","DeKalb County, IN","Indiana","IN",203993.312874081,547956.119758016,1.82781041429207
"12180","Cayuga County, NY","New York","NY",5092637.39277759,12021012.3146366,36.408293573175
"12220","Lee County, AL","Alabama","AL",7637606.51760457,18922552.9387002,70.372293253238
"12220","Macon County, AL","Alabama","AL",3033353.46376175,7481208.95636312,27.9604435470107
"12260","Aiken County, SC","South Carolina","SC",9164604.63698234,26854919.2262638,106.511829868964
"12260","Burke County, GA","Georgia","GA",1554400.9001424,4564694.65887743,18.3291911366735
"12260","Columbia County, GA","Georgia","GA",15858498.0861342,46517207.9449565,186.559000431949
"12260","Edgefield County, SC","South Carolina","SC",1543751.2896028,4517212.03708276,17.7172824065418
"12260","Lincoln County, GA","Georgia","GA",360658.012143943,1042022.31245286,4.16684286534893
"12260","McDuffie County, GA","Georgia","GA",1467814.23658526,4309024.82196002,17.2886649274551
"12260","Richmond County, GA","Georgia","GA",25927286.4421193,76090608.0219445,305.328973254636
"12300","Kennebec County, ME","Maine","ME",2238638.87630721,5123632.98482407,19.0609645852704
"12380","Mower County, MN","Minnesota","MN",8319150.34634012,20564618.5346928,75.6787573061689
"12420","Bastrop County, TX","Texas","TX",2291778.89869093,7462483.25677177,27.0294784519119
"12420","Caldwell County, TX","Texas","TX",973597.280506106,3162426.78338226,11.4423685462903
"12420","Hays County, TX","Texas","TX",6770775.6008077,22012725.8671235,79.7148595406787
"12420","Travis County, TX","Texas","TX",69437689.6518871,224725964.809565,813.552951906408
"12420","Williamson County, TX","Texas","TX",19045062.00828,62002627.4248807,224.572816036031
"12460","Decatur County, GA","Georgia","GA",289525.626325261,884261.354251851,3.26332767093668
"12520","Baker County, OR","Oregon","OR",128810.442269624,324371.18256861,1.10121163995414
"12540","Kern County, CA","California","CA",7773011.70399666,20870480.0674065,68.3587396458377
"12580","Anne Arundel County, MD","Maryland","MD",83628220.1855123,183087933.983415,669.196855038478
"12580","Baltimore County, MD","Maryland","MD",406827172.259098,891705856.522916,3407.54464358542
"12580","Baltimore city, MD","Maryland","MD",397976905.141591,872095066.498952,3333.22198528954
"12580","Carroll County, MD","Maryland","MD",22594120.6208403,49753918.9925504,187.899161121335
"12580","Harford County, MD","Maryland","MD",45483923.1295002,99979335.2049604,379.402551874945
"12580","Howard County, MD","Maryland","MD",109651551.505858,240106757.804148,901.486132374967
"12580","Queen Anne's County, MD","Maryland","MD",2330623.6943416,5128520.19785588,18.512857458271
"12620","Penobscot County, ME","Maine","ME",10084816.3981776,23506856.8647,93.4178478216299
"12660","Sauk County, WI","Wisconsin","WI",8957095.8711588,21273529.98982,84.1621962413527
"12700","Barnstable County, MA","Massachusetts","MA",26298151.3996347,58972571.0563888,207.572397415255
"12740","Washington County, VT","Vermont","VT",4261911.2839644,9918603.09962274,31.7008891362174
"12780","Washington County, OK","Oklahoma","OK",246876.880260178,694455.911980817,2.5676420681603
"12860","Genesee County, NY","New York","NY",4490935.742331,10576047.0617376,32.0622102410982
"12900","Independence County, AR","Arkansas","AR",190576.954497522,537122.78008981,1.75938305800181
"12940","Ascension Parish, LA","Louisiana","LA",3688863.31474687,10238495.51977,36.3259488554678
"12940","Assumption Parish, LA","Louisiana","LA",301935.290082215,837580.687798182,2.96683143198159
"12940","East Baton Rouge Parish, LA","Louisiana","LA",31225618.4597588,86563768.0630431,306.750845547363
"12940","East Feliciana Parish, LA","Louisiana","LA",334136.413467046,927276.553339297,3.28295309904011
"12940","Iberville Parish, LA","Louisiana","LA",1005568.79385666,2783090.69891401,9.85329630268006
"12940","Livingston Parish, LA","Louisiana","LA",3503339.7416643,9705955.89034374,34.3582022601058
"12940","Pointe Coupee Parish, LA","Louisiana","LA",476797.215575678,1319571.40867052,4.67317048829977
"12940","St. Helena Parish, LA","Louisiana","LA",60466.6450813261,167297.781996402,0.592580053554284
"12940","West Baton Rouge Parish, LA","Louisiana","LA",1085036.86791521,3010137.9247536,10.6868684475682
