org_name,org_city,org_state,lat,lon,week,current_loss,current_grant_loss,current_econ_loss,current_job_loss,overall_loss,overall_grant_loss,overall_econ_loss,overall_job_loss
Heritage University,Toppenish,WA,46.37423,-120.39431,2025-02-28,0,0,0,0,0,0,0,0
Hinds Community College-Utica,Raymond,MS,32.25761,-90.41841,2025-02-28,0,0,0,0,0,0,0,0
Hofstra University,Hempstead,NY,40.7169,-73.59904,2025-02-28,0,0,0,0,0,0,0,0
Horizon Research Inc.,Chapel Hill,NC,35.91163,-78.97735,2025-02-28,0,0,0,0,0,0,0,0
Housatonic Community College,Bridgeport,CT,41.17512,-73.19061,2025-02-28,0,0,0,0,0,0,0,0
Houston Christian University,Houston,TX,29.69494,-95.5154,2025-02-28,0,0,0,0,0,0,0,0
Howard University,Washington,DC,38.92314,-77.02158,2025-02-28,0,0,0,0,0,0,0,0
Hudson County Community College,Jersey City,NJ,40.73049,-74.06373,2025-02-28,0,0,0,0,0,0,0,0
"ISeeChange, Inc.",New Orleans,LA,30.00334,-90.08444,2025-02-28,0,0,0,0,0,0,0,0
Illinois Institute of Technology,Chicago,IL,41.83106,-87.62905,2025-02-28,0,0,0,0,0,0,0,0
Ina Solutions Inc.,Fairfax,VA,38.88187,-77.3713,2025-02-28,0,0,0,0,0,0,0,0
"Inclusive Engineering Consortium, Inc.",Wilmette,IL,42.08889,-87.70211,2025-02-28,0,0,0,0,0,0,0,0
Indiana University,Bloomington,IN,39.17206,-86.52316,2025-02-28,0,0,0,0,0,0,0,0
Indigenous Education Institute,Friday Harbor,WA,48.4828,-123.03849,2025-02-28,0,0,0,0,0,0,0,0
Institute for Advanced Study,Princeton,NJ,40.33262,-74.66786,2025-02-28,0,0,0,0,0,0,0,0
Institute for Learning Innovation,Portland,OR,45.56415,-122.69589,2025-02-28,0,0,0,0,0,0,0,0
Institute for Native Pacific Education and Culture,Kapolei,HI,21.31891,-158.07119,2025-02-28,0,0,0,0,0,0,0,0
Iowa State University,Ames,IA,42.02617,-93.64844,2025-02-28,0,0,0,0,0,0,0,0
Ithaca College,Ithaca,NY,42.41668,-76.4991,2025-02-28,0,0,0,0,0,0,0,0
Jackson State University,Jackson,MS,32.29792,-90.20593,2025-02-28,0,0,0,0,0,0,0,0
James Madison University,Harrisonburg,VA,38.44076,-78.8723,2025-02-28,0,0,0,0,0,0,0,0
Jarvis Christian College,Hawkins,TX,32.61634,-95.31317,2025-02-28,0,0,0,0,0,0,0,0
John Carroll University,Cleveland,OH,41.49056,-81.52977,2025-02-28,0,0,0,0,0,0,0,0
Johns Hopkins University,Baltimore,MD,39.32526,-76.60513,2025-02-28,0,0,0,0,0,0,0,0
Johnson C. Smith University,Charlotte,NC,35.24295,-80.85577,2025-02-28,0,0,0,0,0,0,0,0
Juniata College,Huntingdon,PA,40.50014,-78.0159,2025-02-28,0,0,0,0,0,0,0,0
Kansas State University,Manhattan,KS,39.18781,-96.58072,2025-02-28,0,0,0,0,0,0,0,0
Kean University,Union,NJ,40.67958,-74.23188,2025-02-28,0,0,0,0,0,0,0,0
Kent State University,Kent,OH,41.15242,-81.33788,2025-02-28,0,0,0,0,0,0,0,0
Kentucky Community & Technical College System,Versailles,KY,38.05864,-84.72788,2025-02-28,0,0,0,0,0,0,0,0
Kutztown University,Kutztown,PA,40.50866,-75.78321,2025-02-28,0,0,0,0,0,0,0,0
La Salle University,Philadelphia,PA,40.03772,-75.1522,2025-02-28,0,0,0,0,0,0,0,0
Lawrence Technological University,Southfield,MI,42.47513,-83.25074,2025-02-28,0,0,0,0,0,0,0,0
Lehigh Carbon Community College,Schnecksville,PA,40.66494,-75.61281,2025-02-28,0,0,0,0,0,0,0,0
Lehigh University,Bethlehem,PA,40.60713,-75.38126,2025-02-28,0,0,0,0,0,0,0,0
Lisa Fitzpatrick & Associates MD-PC,Washington,DC,38.90272,-77.01823,2025-02-28,0,0,0,0,0,0,0,0
Long Island Children's Museum,Garden City,NY,40.72779,-73.60044,2025-02-28,0,0,0,0,0,0,0,0
Los Angeles County Museum of Natural History Foundation,Los Angeles,CA,34.01668,-118.28983,2025-02-28,0,0,0,0,0,0,0,0
Louisiana State University,Baton Rouge,LA,30.40802,-91.18867,2025-02-28,0,0,0,0,0,0,0,0
Louisiana Tech University,Ruston,LA,32.53151,-92.62932,2025-02-28,0,0,0,0,0,0,0,0
"Loyola University Maryland, Inc.",Baltimore,MD,39.34622,-76.62134,2025-02-28,0,0,0,0,0,0,0,0
Loyola University of Chicago,Chicago,IL,41.89738,-87.62424,2025-02-28,0,0,0,0,0,0,0,0
Manhattan University,Bronx,NY,40.89009,-73.9008,2025-02-28,0,0,0,0,0,0,0,0
Manhattanville College,Purchase,NY,41.03201,-73.71586,2025-02-28,0,0,0,0,0,0,0,0
Maricopa County Community College District,Tempe,AZ,33.41295,-111.97577,2025-02-28,0,0,0,0,0,0,0,0
