"GEOID","inst_name","budg_CHE_cuts","budg_CBET_cuts","budg_NSF_cuts","state_name","rep_name","pol_party","state","state_FIPS","econ_budg_CHE_cuts","econ_budg_CBET_cuts","econ_budg_NSF_cuts","jobs_budg_CHE_cuts","jobs_budg_CBET_cuts","jobs_budg_NSF_cuts"
"0402","University of New Mexico",594.90074313813,2641.96744272627,3236.8681858644,"Arizona","Elijah Crane","Republican","AZ","04",1570.53796188466,6974.79404879735,8545.33201068201,0.00826251032136291,0.036693992260087,0.04495650258145
"0402","Research Corporation for Science Advancement",2077.08954120356,0,2077.08954120356,"Arizona","Elijah Crane","Republican","AZ","04",5483.51638877741,0,5483.51638877741,0.0288484658500495,0,0.0288484658500495
"0403","Arizona State University",78476.2921731545,344202.2814139,422678.573587055,"Arizona","Yassamin Ansari","Democrat","AZ","04",207177.411337128,908694.022932697,1115871.43426982,1.08994850240492,4.78058724185972,5.87053574426465
"0403","University of Arizona",12122.6634685205,8629.0649431349,20751.7284116554,"Arizona","Yassamin Ansari","Democrat","AZ","04",32003.8315568942,22780.7314498761,54784.5630067703,0.168370325951674,0.119848124210207,0.288218450161881
"0403","Northern Arizona University",0,7630.55381598123,7630.55381598123,"Arizona","Yassamin Ansari","Democrat","AZ","04",0,20144.6620741904,20144.6620741904,0,0.10597991411085,0.10597991411085
"0403","Purdue University",1877.1043280715,2676.13545548725,4553.23978355875,"Arizona","Yassamin Ansari","Democrat","AZ","04",4955.55542610875,7064.99760248635,12020.5530285951,0.0260708934454374,0.0371685479928785,0.063239441438316
"0403","University of California-Los Angeles",2250.79936550938,907.778894109089,3158.57825961847,"Arizona","Yassamin Ansari","Democrat","AZ","04",5942.11032494477,2396.536280448,8338.64660539277,0.0312611022987414,0.0126080401959596,0.043869142494701
"0404","Arizona State University",185235.91807369,812457.161713013,997693.079786703,"Arizona","Greg Stanton","Democrat","AZ","04",489022.82371454,2144886.90692236,2633909.7306369,2.5727210843568,11.2841272460141,13.8568483303709
"0404","University of Arizona",18508.7094028304,13174.733082822,31683.4424856525,"Arizona","Greg Stanton","Democrat","AZ","04",48862.9928234723,34781.2953386502,83644.2881621225,0.257065408372645,0.182982403928084,0.440047812300729
"0404","Northern Arizona University",0,10284.6594911051,10284.6594911051,"Arizona","Greg Stanton","Democrat","AZ","04",0,27151.5010565176,27151.5010565176,0,0.142842492932016,0.142842492932016
"0404","Stanford University",1655.46685294759,2249.90059877337,3905.36745172096,"Arizona","Greg Stanton","Democrat","AZ","04",4370.43249178164,5939.73758076171,10310.1700725433,0.0229925951798276,0.031248619427408,0.0542412146072356
"0404","University of California-Los Angeles",1500.53291033959,605.18592940606,2105.71883974565,"Arizona","Greg Stanton","Democrat","AZ","04",3961.40688329651,1597.690853632,5559.09773692851,0.0208407348658276,0.00840536013063971,0.0292460949964673
"0405","Arizona State University",92418.7806303139,405354.971005202,497773.751635516,"Arizona","Andy Biggs","Republican","AZ","04",243985.580864029,1070137.12345373,1314122.70431776,1.28359417542103,5.62993015285003,6.91352432827106
"0405","University of Arizona",13096.8060686695,9322.47194749395,22419.2780161634,"Arizona","Andy Biggs","Republican","AZ","04",34575.5680212874,24611.325941384,59186.8939626715,0.181900084287076,0.129478777048527,0.311378861335603
"0405","Northern Arizona University",0,10284.6594911051,10284.6594911051,"Arizona","Andy Biggs","Republican","AZ","04",0,27151.5010565176,27151.5010565176,0,0.142842492932016,0.142842492932016
"0405","Duke University",1539.29699893185,314.392553845387,1853.68955277724,"Arizona","Andy Biggs","Republican","AZ","04",4063.7440771801,829.996342151822,4893.74041933192,0.0213791249851646,0.0043665632478526,0.0257456882330172
"0405","University of California-Los Angeles",750.266455169794,302.59296470303,1052.85941987282,"Arizona","Andy Biggs","Republican","AZ","04",1980.70344164826,798.845426815999,2779.54886846426,0.0104203674329138,0.00420268006531986,0.0146230474982337
"0406","University of Arizona",724220.904177417,515509.585129604,1239730.48930702,"Arizona","Juan Ciscomani","Republican","AZ","04",1911943.18702838,1360945.30474215,3272888.49177054,10.0586236691308,7.15985534902227,17.2184790181531
"0406","Arizona State University",19121.1270269615,83866.5457252143,102987.672752176,"Arizona","Juan Ciscomani","Republican","AZ","04",50479.7753511784,221407.680714566,271887.456065744,0.265571208707799,1.16481313507242,1.43038434378022
"0406","Research Corporation for Science Advancement",65396.8494942576,0,65396.8494942576,"Arizona","Juan Ciscomani","Republican","AZ","04",172647.68266484,0,172647.68266484,0.908289576309134,0,0.908289576309134
"0406","University of California-Los Angeles",5251.86518618856,2118.15075292121,7370.01593910977,"Arizona","Juan Ciscomani","Republican","AZ","04",13864.9240915378,5591.91798771199,19456.8420792498,0.0729425720303967,0.029418760457239,0.102361332487636
"0406","Northern Arizona University",0,7215.84980424312,7215.84980424312,"Arizona","Juan Ciscomani","Republican","AZ","04",0,19049.8434832018,19049.8434832018,0,0.100220136170043,0.100220136170043
