"CBSA_FIPS","CBSA_NAME","budg_CBET_cuts","budg_CHE_cuts","budg_NSF_cuts","econ_budg_CBET_cuts","econ_budg_CHE_cuts","econ_budg_NSF_cuts","jobs_budg_CBET_cuts","jobs_budg_CHE_cuts","jobs_budg_NSF_cuts"
"05037","Cross County, AR",1104.64155240074,1780.50787327354,2885.14942567428,2916.25369833795,4700.54078544216,7616.79448378011,0.0153422437833436,0.0247292760176881,0.0400715198010317
"05039","Dallas County, AR",81.8146738078156,79.9430547870638,161.757728594879,215.990738852633,211.049664637848,427.040403490482,0.00113631491399744,0.00111032020537589,0.00224663511937333
"05041","Desha County, AR",18.9697880820791,332.351016118255,351.320804200334,50.0802405366887,877.406682552194,927.486923088883,0.000263469278917765,0.00461598633497577,0.00487945561389353
"05043","Drew County, AR",161.65866653064,497.262679205924,658.921345736564,426.778879640889,1312.77347310364,1739.55235274453,0.00224525925736999,0.00690642610008228,0.00915168535745228
"05047","Franklin County, AR",520.478018722544,345.595877790731,866.073896513274,1374.06196942751,912.373117367529,2286.43508679504,0.00722886137114644,0.00479994274709348,0.0120288041182399
"05049","Fulton County, AR",37.9395761641581,79.9430547870638,117.882630951222,100.160481073377,211.049664637848,311.210145711226,0.00052693855783553,0.00111032020537589,0.00163725876321142
"05057","Hempstead County, AR",37.9395761641581,83.0683991145348,121.007975278693,100.160481073377,219.300573662372,319.461054735749,0.00052693855783553,0.00115372776547965,0.00168066632331518
"05061","Howard County, AR",44.6276259856554,315.489961177843,360.117587163499,117.81693260213,832.893497509507,950.710430111637,0.000619828138689659,0.00438180501635894,0.0050016331550486
"05065","Izard County, AR",118.952813914398,202.281977807585,321.234791721983,314.035428734011,534.024421412025,848.059850146036,0.00165212241547775,0.00280947191399424,0.00446159432947199
"05067","Jackson County, AR",417.335337805739,679.520077341459,1096.8554151472,1101.76529180715,1793.93300418145,2895.6982959886,0.00579632413619082,0.00943777885196471,0.0152341029881555
"05071","Johnson County, AR",37.9395761641581,61.7745524855873,99.7141286497454,100.160481073377,163.08481856195,263.245299635328,0.00052693855783553,0.000857979895633156,0.00138491845346869
"05073","Lafayette County, AR",167.745338165127,133.815005143767,301.560343308894,442.847692755934,353.271613579546,796.11930633548,0.00232979636340454,0.00185854173810788,0.00418833810151242
"05075","Lawrence County, AR",1175.0422204644,1678.8118150961,2853.8540355605,3102.11146202602,4432.06319185371,7534.17465387973,0.0163200308397834,0.0233168307652236,0.039636861605007
"05077","Lee County, AR",56.9093642462371,165.335837934287,222.245202180524,150.240721610066,436.486612146518,586.727333756584,0.000790407836753293,0.00229633108242065,0.00308673891917395
"05079","Lincoln County, AR",450.058907104116,1501.9893796772,1952.04828678132,1188.15551475487,3965.25196234781,5153.40747710268,0.00625081815422384,0.0208609636066278,0.0271117817608516
"05083","Logan County, AR",560.222028992255,436.84058655044,997.062615542695,1478.98615653955,1153.25914849316,2632.24530503271,0.00778086151378131,0.00606723036875611,0.0138480918825374
"05089","Marion County, AR",931.004411520728,637.887987124617,1568.89239864535,2457.85164641472,1684.02428600899,4141.87593242371,0.0129306168266768,0.0088595553767308,0.0217901722034076
"05095","Monroe County, AR",363.850939474138,659.322459503808,1023.17339897795,960.566480211725,1740.61129309005,2701.17777330178,0.00505348527047414,0.00915725638199733,0.0142107416524715
"05097","Montgomery County, AR",70.2240490417418,83.0683991145348,153.292448156277,185.391489470198,219.300573662372,404.69206313257,0.000975334014468636,0.00115372776547965,0.00212906177994829
"05099","Nevada County, AR",382.829011373902,365.331252787867,748.160264161769,1010.6685900271,964.47450735997,1975.14309738707,0.00531706960241531,0.00507404517760927,0.0103911147800246
"05107","Phillips County, AR",1394.49029938693,1550.43636577716,2944.92666516409,3681.4543903815,4093.1520056517,7774.60639603319,0.0193679208248185,0.0215338384135716,0.0409017592383901
"05109","Pike County, AR",5.2360008504176,5.08103842407812,10.3170392744957,13.8230422451025,13.4139414395662,27.2369836846687,0.0000727222340335777,0.0000705699781121961,0.000143292212145774
"05113","Polk County, AR",33.5110122885564,83.255260311343,116.766272599899,88.4690724417889,219.793887221946,308.262959663734,0.00046543072622995,0.00115632305987976,0.00162175378610971
"05117","Prairie County, AR",75.8791523283161,141.717607272651,217.596759600967,200.320962146755,374.134483199798,574.455445346553,0.00105387711567106,0.00196830010100904,0.0030221772166801
"05121","Randolph County, AR",897.694767874853,1130.41434005101,2028.10910792586,2369.91418718961,2984.29385773467,5354.20804492428,0.0124679828871507,0.0157001991673751,0.0281681820545259
"05127","Scott County, AR",822.567386994043,490.369399525363,1312.93678651941,2171.57790166427,1294.57521474696,3466.15311641123,0.0114245470415839,0.00681068610451894,0.0182352331461029
"05129","Searcy County, AR",1148.48703412171,641.995543322785,1790.48257744449,3032.00577008131,1694.86823437215,4726.87400445346,0.0159512088072459,0.00891660476837202,0.024867813575618
"05133","Sevier County, AR",205.004235615234,32.4499484065291,237.454184021763,541.211182024217,85.6678637932368,626.879045817454,0.00284728105021158,0.00045069372786846,0.00329797477808004
"05135","Sharp County, AR",113.818728492474,230.757844584073,344.576573076548,300.481443220133,609.200709701953,909.682152922086,0.00158081567350659,0.00320497006366768,0.00478578573717427
"05137","Stone County, AR",226.552816360449,179.882190083734,406.435006444184,598.099435191586,474.888981821058,1072.98841701264,0.00314656689389513,0.00249836375116298,0.0056449306450581
"05141","Van Buren County, AR",56.9093642462371,112.393003193593,169.30236743983,150.240721610066,296.717528431085,446.958250041151,0.000790407836753293,0.00156101393324434,0.00235142176999764
"05147","Woodruff County, AR",62.0434496681606,126.225979216945,188.269428885106,163.794707123944,333.236585132735,497.031292256679,0.000861714578724453,0.00175313860023535,0.0026148531789598
"06005","Amador County, CA",19554.9575258804,14403.9825235312,33958.9400494116,51625.0878683242,38026.5138621223,89651.6017304465,0.271596632303894,0.200055312826822,0.471651945130716
"06009","Calaveras County, CA",12109.6679664369,10430.2107002102,22539.8786666471,31969.5234313934,27535.7562485548,59505.2796799482,0.168189832867179,0.144864037502919,0.313053870370098
"06011","Colusa County, CA",6811.09979580366,3823.31173119365,10634.4115269973,17981.3034609217,10093.5429703512,28074.8464312729,0.0945986082750508,0.053101551822134,0.147700160097185
