"state_name","org_name","budg_NIH_cuts","econ_budg_NIH_cuts","jobs_budg_NIH_cuts"
"New Jersey","Rutgers Biomedical and Health Sciences",15910154.8079921,51740479.8063945,140.00936231033
"New Jersey","Rutgers,the State University of N.j.",12204180.6693656,39688499.0182314,107.396789890418
"New Jersey","Columbia University",10834292.1876426,35233565.1611455,95.3417712512552
"New Jersey","Princeton University",8980737.27279413,29205728.1099568,79.0304880005883
"New Mexico","University of New Mexico Health Sciences Center",14327557.3746488,33351968.1442953,111.754947522261
"New Mexico","University of New Mexico",3016081.59020969,7020893.68668361,23.5254364036356
"New Mexico","New Mexico State University Las Cruces",2038418.30417128,4745069.97722878,15.899662772536
"New Mexico","Lovelace Biomedical Research Institute",1067664.80833608,2485331.01248759,8.3277855050214
"New Mexico","The Mind Research Network",381671.432331783,888462.22142797,2.97703717218791
"New York","Columbia University",108986543.194504,256911973.886399,773.80445668098
"New York","New York University School of Medicine",93908300.463848,221368309.60339,666.748933293321
"New York","Icahn School of Medicine at Mount Sinai",77976453.4463135,183812459.633673,553.632819468826
"New York","Weill Medical College of Cornell University",49901869.8277763,117632759.993095,354.303275777212
"New York","University of Rochester",36668716.4876409,86438490.9970758,260.34788706225
"North Carolina","Duke University",121529716.953069,304030010.441957,1178.83825444477
"North Carolina","University of North Carolina Chapel Hill",106536571.776585,266521768.023153,1033.40474623287
"North Carolina","Research Triangle Institute",68903426.6109722,172375202.026597,668.36323812643
"North Carolina","Wake Forest University Health Sciences",26975106.3873164,67483427.7757408,261.658531956969
"North Carolina","Family Health International",17580950.1717626,43982135.3847521,170.535216666097
"North Dakota","University of North Dakota",3022792.42976054,11165529.9319385,22.368663980228
"North Dakota","North Dakota State University",890465.506965569,3289183.59510727,6.58944475154521
"North Dakota","Sanford Research North",419588.809538012,1549868.71274328,3.10495719058129
"North Dakota","Mayo Clinic Rochester",11477.0192612177,42393.5831084215,0.0849299425330112
"North Dakota","Father Flanagan's Boys' Home",3976.64128947519,14688.8376816978,0.0294271455421164
"Ohio","Ohio State University",49706468.1419759,129633442.818067,492.094034605561
"Ohio","Case Western Reserve University",38328834.2971995,99960808.6206638,379.455459542275
"Ohio","Cincinnati Children's Hospital Medical Center",27825801.9025431,72569116.9506777,275.475438835177
"Ohio","Cleveland Clinic Lerner College of Medicine - Case Western Reserve University",24864609.6236266,64846388.6154883,246.159635273903
"Ohio","University of Cincinnati",15946291.8945727,41587600.0799506,157.86828975627
"Oklahoma","University of Oklahoma Health Sciences Center",12217968.6667244,34406923.2568677,128.288671000607
"Oklahoma","Oklahoma Medical Research Foundation",7073223.08176005,19918846.6095542,74.2688423584805
"Oklahoma","University of Oklahoma",2242391.23268558,6314779.90813756,23.5451079431986
"Oklahoma","Oklahoma State University Stillwater",1905854.20858836,5367060.70234652,20.0114691901777
"Oklahoma","Laureate Institute for Brain Research",1566713.57537499,4412009.4938721,16.4504925414374
"Oregon","Oregon Health & Science University",54780349.9510987,132935731.622837,482.067079569669
"Oregon","University of Oregon",8877239.81683063,21542439.4129504,78.1197103881095
"Oregon","Oregon State University",4884986.35742191,11854419.2574738,42.9878799453128
"Oregon","Portland State University",1316669.03612814,3195166.91257136,11.5866875179277
"Oregon","Oregon Social Learning Center, Inc.",806757.182360278,1957761.43041765,7.09946320477045
"Pennsylvania","University of Pittsburgh at Pittsburgh",125109582.773011,300838798.357285,1063.43145357059
"Pennsylvania","University of Pennsylvania",109918593.088081,264310508.666128,934.308041248685
"Pennsylvania","Children's Hospital of Philadelphia",27002114.9377527,64929349.3825894,229.517976970898
"Pennsylvania","Pennsylvania State University,the",15676775.1327665,37696410.526886,133.252588628515
"Pennsylvania","Pennsylvania State University Hershey Medical Center",14756502.1166921,35483519.8579213,125.430267991883
"Puerto Rico","University of Puerto Rico Medical Sciences",5947665.47434068,15285500.2690555,52.934222721632
"Puerto Rico","Ponce School of Medicine",1743402.0870599,4480543.36374394,15.5162785748331
"Puerto Rico","University of Puerto Rico Rio Piedras",666292.516997436,1712371.76868341,5.93000340127718
"Puerto Rico","University of Puerto Rico Comprehensive Cancer Center",519686.056606149,1335593.1654778,4.62520590379472
"Puerto Rico","University of Puerto Rico",484540.193365648,1245268.29694971,4.31240772095427
"Rhode Island","Brown University",22133765.6451852,46061666.1400214,163.78986577437
"Rhode Island","Rhode Island Hospital",6326272.14496463,13165343.8517213,46.8144138727383
"Rhode Island","University of Rhode Island",2921289.6427449,6079375.30285044,21.6175433563123
"Rhode Island","Miriam Hospital",2848104.57878387,5927072.88686535,21.0759738830006
"Rhode Island","Women and Infants Hospital-Rhode Island",1798807.93705813,3743424.95420865,13.3111787342302
"South Carolina","Medical University of South Carolina",26567625.6716556,76822667.5960876,273.646544418053
"South Carolina","University of South Carolina at Columbia",11488664.6079869,33220502.0203941,118.333245462265
"South Carolina","Clemson University",3758173.47531848,10867094.983608,38.7091867957803
"South Carolina","Augusta University",2091145.10410091,6046733.23890292,21.5387945722394
"South Carolina","Spartanburg Regional Medical Center",577876.265781133,1670980.94599907,5.95212553754568
"South Dakota","University of South Dakota",1475762.55180585,4606633.79886619,12.2488291799886
"South Dakota","Sanford Research/Usd",1389145.59719359,4336256.56901748,11.5299084567068
"South Dakota","Avera Mckennan",1275123.72033975,3980334.11314386,10.5835268788199
"South Dakota","South Dakota State University",476619.195083292,1487780.05687458,3.95593931919132
"South Dakota","University of Minnesota",221778.90942644,692289.026299893,1.84076494823945
"Tennessee","Vanderbilt University Medical Center",79633219.8947491,214372666.505966,796.332198947492
"Tennessee","Vanderbilt University",24232767.4614613,65234621.7369896,242.327674614613
"Tennessee","St. Jude Children's Research Hospital",16227570.2894979,43684627.0748628,162.275702894979
"Tennessee","University of Tennessee Health Science Center",9733238.18616286,26201881.9088717,97.3323818616286
"Tennessee","Meharry Medical College",2471908.71562195,6654379.45906992,24.7190871562195
"Texas","Baylor College of Medicine",67786530.4436644,220814210.06932,799.88105923524
"Texas","University of Texas Southwestern Medical Center",54349392.401793,177042814.736229,641.322830341157
"Texas","University of Tx Md anderson Can Center",37074539.4709287,120770086.52568,437.479565756959
"Texas","University of Texas Health Science Center Houston",28812317.6097179,93855949.1334885,339.985347794672
"Texas","University of Texas Medical Branch Galveston",23617207.0001881,76932907.9635404,278.68304260222
"Utah","University of Utah",48495661.6682954,133200985.157103,557.700109185398
"Utah","Brigham Young University",1111397.15256215,3052627.60687024,12.7810672544647
"Utah","Utah State University",885502.579948666,2432172.52741248,10.1832796694097
"Utah","Curza Inc",372845.487494844,1024078.94927561,4.28772310619071
"Utah","Ihc Health Services, Inc.",347514.30811464,954502.869012737,3.99641454331836
"Vermont","University of Vermont and State Agricultural College",11310652.4955056,26010183.6967257,84.829893716292
"Vermont","Dartmouth College",6424942.91468757,14774916.4354934,48.1870718601568
"Vermont","Microbrightfield, LLC",645763.438267922,1485009.43342146,4.84322578700942
"Vermont","Dartmouth-Hitchcock Clinic",539347.119171482,1240292.51641533,4.04510339378611
"Vermont","Celdara Medical, LLC",193991.744743835,446106.970260156,1.45493808557877
"Virgin Islands","University ofthe Virgin Islands",110942.314958296,285121.74944282,0.987386603128833
"Virginia","University of Virginia",37208696.5912519,102821949.034345,316.273921025641
"Virginia","Virginia Commonwealth University",19837857.9008507,54819636.292001,168.621792157231
"Virginia","Virginia Polytechnic Institute and State University",9746424.30377913,26933121.4161877,82.8446065821226
"Virginia","Vignet, Inc.",7535953.48610541,20824739.8124582,64.055604631896
"Virginia","George Washington University",6114223.06406308,16895951.4810179,51.9708960445362
"Washington","University of Washington",111490567.235495,269489182.529205,869.626424436865
"Washington","Fred Hutchinson Cancer Center",94370765.6755213,228108091.358375,736.091972269066
"Washington","Seattle Children's Hospital",17743624.880085,42888964.3546149,138.400274064663
"Washington","Allen Institute",11706532.2754733,28296419.0728833,91.3109517486917
"Washington","Benaroya Research Inst at Virginia Mason",11023083.2343259,26644421.7069524,85.980049227742
"West Virginia","West Virginia University",7069199.44817191,19745974.6017525,54.4328357509237
"West Virginia","Marshall University",1257076.41154096,3511316.81553688,9.6794883688654
"West Virginia","University of Pittsburgh at Pittsburgh",903126.499847636,2522649.56716884,6.9540740488268
"West Virginia","Johns Hopkins University",326448.015079392,911847.835360927,2.51364971611132
"West Virginia","Virginia Polytechnic Institute and State University",172905.753288332,482967.362564824,1.33137430032016
"Wisconsin","University of Wisconsin-Madison",76741217.0615726,181698074.111098,721.367440378783
"Wisconsin","Medical College of Wisconsin",23943882.2068701,56691272.9601441,225.072492744579
"Wisconsin","University of Minnesota",3263318.23870333,7726469.05910125,30.6751914438113
"Wisconsin","Versiti Blood Health, Inc.",3104485.46392301,7350405.05610075,29.1821633608763
"Wisconsin","Marshfield Clinic, Inc.",2468547.53562675,5844712.2713105,23.2043468348914
"Wyoming","University of Wyoming",2307148.22377852,9009811.59803165,17.9957561454725
"Wyoming","Colorado State University",228404.395483267,891958.544430343,1.78155428476948
"Wyoming","University of Colorado Denver",84539.3554878791,330140.758931114,0.659406972805457
"Wyoming","University of Utah",44706.7634646651,174587.619392183,0.348712755024388
"Wyoming","Unlocked Labs Inc.",42054.4162049494,164229.746041742,0.328024446398605
